effect_bonus_value_ids_unit_sets_tables	0
unit_damage_resistance_magic_mod	ads_mercenarymagicres_rank7	aaslavetag_rank7
unit_damage_resistance_magic_mod	ads_mercenarymagicres_rank7	aadarkalliestag_rank7
melee_attack_mod	ads_mercenaryattack_rank7	aadarkalliestag_rank7
melee_attack_mod	ads_mercenaryattack_rank7	aaslavetag_rank7
mod_land_movement_battle	ads_mercenaryspeed_rank7	aaslavetag_rank7
mod_land_movement_battle	ads_mercenaryspeed_rank7	aadarkalliestag_rank7
melee_defence_mod	ads_chorfdefense_rank7	aachaosdwarftag_rank7
melee_defence_mod	ads_chorfdefense_rank7	aachaosdwarftag_rank7_ranged
upkeep_mod	ads_chaosdwarf_upkeep	aachaosdwarftag
upkeep_mod	ads_chaosdwarf_upkeep_ranged	aachaosdwarftag_ranged
melee_damage_mod_mult	ads_chaosdwarf_damage	aachaosdwarftag
melee_damage_mod_mult	ads_chaosdwarf_damage_ranged	aachaosdwarftag_ranged
melee_damage_ap_mod_mult	ads_chaosdwarf_damage	aachaosdwarftag
melee_damage_ap_mod_mult	ads_chaosdwarf_damage_ranged	aachaosdwarftag_ranged
cost_mod	ads_chaosdwarf_recruit	aachaosdwarftag
cost_mod	ads_chaosdwarf_recruit_ranged	aachaosdwarftag_ranged
unit_xp_mod	ads_chaosdwarf_exp	aachaosdwarftag
unit_xp_mod	ads_chaosdwarf_exp_ranged	aachaosdwarftag_ranged
range_mod	ads_chaosdwarf_range_ranged	aachaosdwarftag_ranged
melee_defence_mod	ads_chaosdwarf_defence	aachaosdwarftag
melee_defence_mod	ads_chaosdwarf_defence_ranged	aachaosdwarftag_ranged
morale	ads_chaosdwarf_morale	aachaosdwarftag
morale	ads_chaosdwarf_morale_ranged	aachaosdwarftag_ranged
reload	ads_chaosdwarf_reload_ranged	aachaosdwarftag_ranged
armour_mod	ads_chaosdwarf_armour	aachaosdwarftag
armour_mod	ads_chaosdwarf_armour_ranged	aachaosdwarftag_ranged
melee_attack_mod	ads_chaosdwarf_attack	aachaosdwarftag
melee_attack_mod	ads_chaosdwarf_attack_ranged	aachaosdwarftag_ranged
missile_damage_ap_mod_mult	ads_chaosdwarf_rangedmg_ranged	aachaosdwarftag_ranged
missile_damage_mod_mult	ads_chaosdwarf_rangedmg_ranged	aachaosdwarftag_ranged
ammo_mod	ads_chaosdwarf_ammo_ranged	aachaosdwarftag_ranged
mod_land_movement_battle	ads_chaosdwarf_speed	aachaosdwarftag
mod_land_movement_battle	ads_chaosdwarf_speed_ranged	aachaosdwarftag_ranged
upkeep_mod	ads_slave_upkeep	aaslavetag
melee_damage_mod_mult	ads_slave_damage	aaslavetag
melee_damage_ap_mod_mult	ads_slave_damage	aaslavetag
cost_mod	ads_slave_recruit	aaslavetag
mod_land_movement_battle	ads_slave_speed	aaslavetag
melee_attack_mod	ads_slave_attack	aaslavetag
charge_add	ads_slave_charge	aaslavetag
morale	ads_slave_morale	aaslavetag
melee_defence_mod	ads_slave_defence	aaslavetag
unit_xp_mod	ads_slave_exp	aaslavetag
upkeep_mod	ads_bullcent_upkeep	aabullcentplustag
melee_damage_mod_mult	ads_bullcent_damage	aabullcentplustag
melee_damage_ap_mod_mult	ads_bullcent_damage	aabullcentplustag
cost_mod	ads_bullcent_recruit	aabullcentplustag
unit_xp_mod	ads_bullcent_exp	aabullcentplustag
melee_defence_mod	ads_bullcent_defence	aabullcentplustag
mod_land_movement_battle	ads_bullcent_speed	aabullcentplustag
morale	ads_bullcent_morale	aabullcentplustag
melee_attack_mod	ads_bullcent_attack	aabullcentplustag
armour_mod	ads_bullcent_armour	aabullcentplustag
charge_add	ads_bullcent_charge	aabullcentplustag
upkeep_mod	ads_hobgob_upkeep	aahobgoblintag
melee_defence_mod	ads_hobgob_defence	aahobgoblintag
cost_mod	ads_hobgob_recruit	aahobgoblintag
mod_land_movement_battle	ads_hobgob_speed	aahobgoblintag
charge_add	ads_hobgob_charge	aahobgoblintag
morale	ads_hobgob_morale	aahobgoblintag
unit_xp_mod	ads_hobgob_exp	aahobgoblintag
melee_damage_mod_mult	ads_hobgob_damage	aahobgoblintag
melee_damage_ap_mod_mult	ads_hobgob_damage	aahobgoblintag
melee_attack_mod	ads_hobgob_attack	aahobgoblintag
upkeep_mod	ads_cdartillery_upkeep	aaartillerycdtag
mod_land_movement_battle	ads_cdartillery_speed	aaartillerycdtag
cost_mod	ads_cdartillery_recruit	aaartillerycdtag
range_mod	ads_cdartillery_range	aaartillerycdtag
reload	ads_cdartillery_reload	aaartillerycdtag
ammo_mod	ads_cdartillery_ammo	aaartillerycdtag
missile_damage_ap_mod_mult	ads_cdartillery_rangedmg	aaartillerycdtag
missile_damage_mod_mult	ads_cdartillery_rangedmg	aaartillerycdtag
upkeep_mod	ads_cdwarmachine_upkeep	aawarmachinecdtag
melee_damage_mod_mult	ads_cdwarmachine_damage	aawarmachinecdtag
melee_damage_ap_mod_mult	ads_cdwarmachine_damage	aawarmachinecdtag
cost_mod	ads_cdwarmachine_recruit	aawarmachinecdtag
melee_attack_mod	ads_cdwarmachine_attack	aawarmachinecdtag
charge_add	ads_cdwarmachine_charge	aawarmachinecdtag
upkeep_mod	ads_fireborn_upkeep	aafireborntag
melee_damage_mod_mult	ads_fireborn_damage	aafireborntag
melee_damage_ap_mod_mult	ads_fireborn_damage	aafireborntag
cost_mod	ads_fireborn_recruit	aafireborntag
melee_attack_mod	ads_fireborn_attack	aafireborntag
mod_land_movement_battle	ads_fireborn_speed	aafireborntag
charge_add	ads_fireborn_charge	aafireborntag
melee_defence_mod	ads_fireborn_defence	aafireborntag
armour_mod	ads_fireborn_armour	aafireborntag
morale	ads_fireborn_morale	aafireborntag
upkeep_mod	ads_cdallies_upkeep	aadarkalliestag
melee_damage_mod_mult	ads_cdallies_damage	aadarkalliestag
melee_damage_ap_mod_mult	ads_cdallies_damage	aadarkalliestag
cost_mod	ads_cdallies_recruit	aadarkalliestag
melee_defence_mod	ads_cdallies_defence	aadarkalliestag
charge_add	ads_cdallies_charge	aadarkalliestag
melee_attack_mod	ads_cdallies_attack	aadarkalliestag
morale	ads_cdallies_morale	aadarkalliestag
unit_xp_mod	ads_cdallies_exp	aadarkalliestag
upkeep_mod	ads_cdmonsters_upkeep	aacdmonstersonly
unit_damage_resistance_physical_mod	ads_cdmonsters_physres	aacdmonstersonly
upkeep_mod	ads_cdwarrioronly_upkeep	aacdwarrioronly
melee_attack_mod	ads_cdwarrioronly_attack	aacdwarrioronly
upkeep_mod	ads_immortalonly_upkeep	aaimmortalonly
morale	ads_immortalonly_morale	aaimmortalonly
armour_mod	ads_immortalonly_armour	aaimmortalonly
armour_mod	ads_infernalonly_armour	aainfernalonly
melee_defence_mod	ads_infernalonly_defence	aainfernalonly
upkeep_mod	ads_hobgobranged_upkeep	aahobgobrangedtag
melee_defence_mod	ads_hobgobranged_defence	aahobgobrangedtag
cost_mod	ads_hobgobranged_recruit	aahobgobrangedtag
range_mod	ads_hobgobranged_range	aahobgobrangedtag
mod_land_movement_battle	ads_hobgobranged_speed	aahobgobrangedtag
charge_add	ads_hobgobranged_charge	aahobgobrangedtag
morale	ads_hobgobranged_morale	aahobgobrangedtag
unit_xp_mod	ads_hobgobranged_exp	aahobgobrangedtag
reload	ads_hobgobranged_reload	aahobgobrangedtag
melee_damage_mod_mult	ads_hobgobranged_damage	aahobgobrangedtag
melee_damage_ap_mod_mult	ads_hobgobranged_damage	aahobgobrangedtag
melee_attack_mod	ads_hobgobranged_attack	aahobgobrangedtag
missile_damage_ap_mod_mult	ads_hobgobranged_rangedmg	aahobgobrangedtag
missile_damage_mod_mult	ads_hobgobranged_rangedmg	aahobgobrangedtag
ammo_mod	ads_hobgobranged_ammo	aahobgobrangedtag
armour_mod	ads_hobgob_armour	aahobgoblintag
armour_mod	ads_hobgobranged_armour	aahobgobrangedtag
mod_land_movement_battle	ads_hobgobranged_speed_rank7	aahobgobrangedtag_rank7
range_mod	ads_deathshriekeronly_range	aadeathshriekeronly
reload	ads_deathshriekeronly_reload	aadeathshriekeronly
missile_damage_ap_mod_mult	ads_deathshriekeronly_damage	aadeathshriekeronly
missile_damage_mod_mult	ads_deathshriekeronly_damage	aadeathshriekeronly
