effect_bonus_value_ids_unit_sets_tables	0
damage_vs_infantry	elo_low_level_swamp_dwellers_vsinf	elo_low_level_swamp_dwellers
charge_bonus	elo_fimir_trolls_charge	elo_fimir_trolls
melee_attack_mod	elo_fimir_trolls_ma	elo_fimir_trolls
armour_mod	elo_fimir_trolls_armour	elo_fimir_trolls
mod_land_movement_battle	elo_swamp_riders_speed	elo_swamp_riders
damage_vs_infantry	elo_swamp_riders_vsinf	elo_swamp_riders
charge_add	elo_swamp_riders_charge	elo_swamp_riders
unit_xp_mod	elo_fen_big_dwellers_xp	elo_fen_big_dwellers
upkeep_mod	elo_fen_big_dwellers_up	elo_fen_big_dwellers
unit_damage_resistance_all_mod	elo_fen_big_dwellers_ward	elo_fen_big_dwellers
melee_attack_mod	elo_fen_monster_rulers_matt	elo_fen_monster_rulers
morale	elo_fen_monster_rulers_morale	elo_fen_monster_rulers
unit_damage_resistance_missile_mod	elo_fen_monster_rulers_resmis	elo_fen_monster_rulers
cost_mod	elo_fen_monster_rulers_cost	elo_fen_monster_rulers
unit_damage_resistance_all_mod	elo_fen_lord_heroes_ward	elo_fen_lord_heroes
melee_defence_mod	elo_belakor_fimir_demons_md	elo_belakor_fimir_demons
melee_attack_mod	elo_belakor_fimir_demons_ma	elo_belakor_fimir_demons
melee_damage_mod_mult	elo_belakor_fimir_demons_wps	elo_belakor_fimir_demons
melee_damage_ap_mod_mult	elo_belakor_fimir_demons_wps	elo_belakor_fimir_demons
replenishment_percentage_bonus	elo_belakor_fimir_demons_rep	elo_belakor_fimir_demons
morale	elo_belakor_fimir_demons_morale	elo_belakor_fimir_demons
unit_damage_resistance_all_mod	elo_belakor_fimir_demons_ward	elo_belakor_fimir_demons
unit_xp_mod	elo_belakor_fimir_demons_xp	elo_belakor_fimir_demons
unit_damage_resistance_all_mod	elo_demons_papa_nurgle	elo_demons_papa_nurgle
armour_mod	elo_belakor_hopeless_fodder_armour	elo_belakor_hopeless_fodder
melee_attack_mod	elo_belakor_hopeless_fodder_ma	elo_belakor_hopeless_fodder
ammo_mod	elo_belakor_hopeless_fodder_ammo	elo_belakor_hopeless_fodder
reload	elo_belakor_hopeless_fodder_reload	elo_belakor_hopeless_fodder
upkeep_mod	elo_belakor_riders_chaos_up	elo_belakor_riders_chaos
charge_bonus	elo_belakor_riders_chaos_cb	elo_belakor_riders_chaos
melee_damage_mod_mult	elo_belakor_riders_chaos_wps	elo_belakor_riders_chaos
melee_damage_ap_mod_mult	elo_belakor_riders_chaos_wps	elo_belakor_riders_chaos
melee_defence_mod	elo_belakor_armoured_warriors_md	elo_belakor_armoured_warriors
morale	elo_belakor_armoured_warriors_ld	elo_belakor_armoured_warriors
mod_land_movement_battle	elo_belakor_corrupted_giants_speed	elo_belakor_corrupted_giants
damage_vs_infantry	elo_belakor_corrupted_giants_vsinf	elo_belakor_corrupted_giants
charge_add	elo_belakor_corrupted_giants_cb	elo_belakor_corrupted_giants
cost_mod	elo_belakor_twisted_corrupted_cost	elo_belakor_twisted_corrupted
melee_damage_mod_mult	elo_belakor_twisted_corrupted_wps	elo_belakor_twisted_corrupted
melee_damage_ap_mod_mult	elo_belakor_twisted_corrupted_wps	elo_belakor_twisted_corrupted
armour_mod	elo_belakor_twisted_corrupted_armour	elo_belakor_twisted_corrupted
melee_defence_mod	elo_belakor_here_to_die_md	elo_belakor_here_to_die
armour_mod	elo_belakor_here_to_die_armour	elo_belakor_here_to_die
ammo_mod	elo_belakor_ranged_ammo	elo_belakor_ranged
missile_damage_ap_mod_mult	elo_belakor_ranged_rdmg	elo_belakor_ranged
missile_damage_mod_mult	elo_belakor_ranged_rdmg	elo_belakor_ranged
charge_add	elo_belakor_cav_cb	elo_belakor_cav
melee_attack_mod	elo_belakor_cav_ma	elo_belakor_cav
melee_damage_mod_mult	elo_belakor_chaos_infantry_dmg	elo_belakor_chaos_infantry
melee_damage_ap_mod_mult	elo_belakor_chaos_infantry_dmg	elo_belakor_chaos_infantry
melee_attack_mod	elo_belakor_chaos_infantry_ma	elo_belakor_chaos_infantry
melee_defence_mod	elo_belakor_conjured_monsters_md	elo_belakor_conjured_monsters
melee_attack_mod	elo_belakor_conjured_monsters_ma	elo_belakor_conjured_monsters
mod_land_movement_battle	elo_belakor_conscripted_beasts_speed	elo_belakor_conscripted_beasts
charge_add	elo_belakor_conscripted_beasts_cb	elo_belakor_conscripted_beasts
melee_damage_mod_mult	elo_belakor_r7_fimir_all_wps	elo_belakor_r7_fimir_all
melee_damage_ap_mod_mult	elo_belakor_r7_fimir_all_wps	elo_belakor_r7_fimir_all
unit_damage_resistance_missile_mod	elo_belakor_r7_fimir_all_misres	elo_belakor_r7_fimir_all
melee_attack_mod	elo_belakor_r7_fimir_all_ma	elo_belakor_r7_fimir_all
ammo_mod	elo_belakor_ranged_r7_ammo	elo_belakor_ranged_r7
reload	elo_belakor_ranged_r7_reload	elo_belakor_ranged_r7
missile_damage_ap_mod_mult	elo_belakor_ranged_r7_rdmg	elo_belakor_ranged_r7
missile_damage_mod_mult	elo_belakor_ranged_r7_rdmg	elo_belakor_ranged_r7
unit_damage_resistance_physical_mod	elo_belakor_cav_bog_r7_phys_res	elo_belakor_cav_bog_r7
melee_attack_mod	elo_belakor_cav_bog_r7_ma	elo_belakor_cav_bog_r7
charge_add	elo_belakor_cav_bog_r7_cb	elo_belakor_cav_bog_r7
melee_damage_mod_mult	elo_champions_chaos_r7_wps	elo_champions_chaos_r7
melee_damage_ap_mod_mult	elo_champions_chaos_r7_wps	elo_champions_chaos_r7
melee_defence_mod	elo_champions_chaos_r7_md	elo_champions_chaos_r7
unit_damage_resistance_magic_mod	elo_champions_chaos_r7_magicres	elo_champions_chaos_r7
