building_level_armed_citizenry_junctions_tables	1
wh_main_special_settlement_couronne_5_emp	92112506	ovn_halfling2_ogres
wh_main_special_settlement_couronne_5_emp	92112507	ovn_halfling
wh_main_special_settlement_kislev_1_emp	92112508	ovn_halfling
wh_main_special_settlement_kislev_2_emp	92112509	ovn_halfling
wh_main_special_settlement_kislev_3_emp	92112510	ovn_halfling
wh_main_special_settlement_kislev_3_emp	92112511	ovn_halfling
wh_main_special_settlement_kislev_4_emp	92112512	ovn_halfling2
wh_main_special_settlement_kislev_4_emp	92112513	ovn_halfling
wh_main_special_settlement_kislev_5_emp	92112514	ovn_halfling2
wh_main_special_settlement_kislev_5_emp	92112515	ovn_halfling
wh_main_special_settlement_miragliano_1_emp	92112516	ovn_halfling
wh_main_special_settlement_miragliano_2_emp	92112517	ovn_halfling
wh_main_special_settlement_miragliano_3_emp	92112518	ovn_halfling
wh_main_special_settlement_miragliano_3_emp	92112519	ovn_halfling
wh_main_special_settlement_miragliano_4_emp	92112520	ovn_halfling
wh_main_special_settlement_miragliano_4_emp	92112521	ovn_halfling2
wh_main_special_settlement_miragliano_5_emp	92112522	ovn_halfling
wh_main_special_settlement_miragliano_5_emp	92112523	ovn_halfling
wh_main_special_settlement_miragliano_5_emp	92112524	ovn_halfling2
wh2_dlc09_special_settlement_pyramid_of_nagash_emp_1	92112525	ovn_halfling
wh2_dlc09_special_settlement_pyramid_of_nagash_emp_2	92112526	ovn_halfling
wh2_dlc09_special_settlement_pyramid_of_nagash_emp_3	92112527	ovn_halfling
wh2_dlc09_special_settlement_pyramid_of_nagash_emp_3	92112530	ovn_halfling
wh2_dlc09_special_settlement_pyramid_of_nagash_emp_4	92112528	ovn_halfling2
wh2_dlc09_special_settlement_pyramid_of_nagash_emp_4	92112531	ovn_halfling
wh2_dlc09_special_settlement_pyramid_of_nagash_emp_4	92112533	ovn_halfling
wh2_dlc09_special_settlement_pyramid_of_nagash_emp_5	92112529	ovn_halfling2
wh2_dlc09_special_settlement_pyramid_of_nagash_emp_5	92112532	ovn_halfling2_ogres
wh2_dlc09_special_settlement_pyramid_of_nagash_emp_5	92112534	ovn_halfling
wh2_main_emp_defence_norsca_1	92112535	ovn_halfling
wh2_main_special_settlement_athel_loren_emp_1	92112536	ovn_halfling
wh2_main_special_settlement_athel_loren_emp_2	92112537	ovn_halfling
wh2_main_special_settlement_athel_loren_emp_3	92112538	ovn_halfling
wh2_main_special_settlement_athel_loren_emp_3	92112541	ovn_halfling
wh2_main_special_settlement_athel_loren_emp_4	92112539	ovn_halfling2
wh2_main_special_settlement_athel_loren_emp_4	92112542	ovn_halfling
wh2_main_special_settlement_athel_loren_emp_5	92112540	ovn_halfling2
wh2_main_special_settlement_athel_loren_emp_5	92112543	ovn_halfling2_ogres
wh2_main_special_settlement_black_crag_emp_1	92112544	ovn_halfling
wh2_main_special_settlement_black_crag_emp_2	92112545	ovn_halfling
wh2_main_special_settlement_black_crag_emp_3	92112546	ovn_halfling
wh2_main_special_settlement_black_crag_emp_3	92112551	ovn_halfling
wh2_main_special_settlement_black_crag_emp_4	92112547	ovn_halfling2
wh2_main_special_settlement_black_crag_emp_4	92112549	ovn_halfling
wh2_main_special_settlement_black_crag_emp_4	92112552	ovn_halfling
wh2_main_special_settlement_black_crag_emp_5	92112548	ovn_halfling2
wh2_main_special_settlement_black_crag_emp_5	92112550	ovn_halfling2_ogres
wh2_main_special_settlement_black_crag_emp_5	92112553	ovn_halfling
wh2_main_special_settlement_eight_peaks_emp_1	92112554	ovn_halfling
wh2_main_special_settlement_eight_peaks_emp_2	92112555	ovn_halfling
wh2_main_special_settlement_eight_peaks_emp_3	92112556	ovn_halfling
wh2_main_special_settlement_eight_peaks_emp_3	92112561	ovn_halfling
wh2_main_special_settlement_eight_peaks_emp_4	92112557	ovn_halfling2
wh2_main_special_settlement_eight_peaks_emp_4	92112559	ovn_halfling
wh2_main_special_settlement_eight_peaks_emp_4	92112562	ovn_halfling
wh2_main_special_settlement_eight_peaks_emp_5	92112558	ovn_halfling2
wh2_main_special_settlement_eight_peaks_emp_5	92112560	ovn_halfling2_ogres
wh2_main_special_settlement_eight_peaks_emp_5	92112563	ovn_halfling
wh2_main_special_settlement_gaean_vale_emp_1	92112564	ovn_halfling
wh2_main_special_settlement_gaean_vale_emp_2	92112565	ovn_halfling
wh2_main_special_settlement_gaean_vale_emp_3	92112566	ovn_halfling
wh2_main_special_settlement_gaean_vale_emp_3	92112569	ovn_halfling
wh2_main_special_settlement_gaean_vale_emp_4	92112567	ovn_halfling2
wh2_main_special_settlement_gaean_vale_emp_4	92112570	ovn_halfling
wh2_main_special_settlement_gaean_vale_emp_4	92112572	ovn_halfling
wh2_main_special_settlement_gaean_vale_emp_5	92112568	ovn_halfling2
wh2_main_special_settlement_gaean_vale_emp_5	92112571	ovn_halfling2_ogres
wh2_main_special_settlement_gaean_vale_emp_5	92112573	ovn_halfling
wh2_main_special_settlement_hexoatl_emp_1	92112574	ovn_halfling
wh2_main_special_settlement_hexoatl_emp_2	92112575	ovn_halfling
wh2_main_special_settlement_hexoatl_emp_3	92112576	ovn_halfling
wh2_main_special_settlement_hexoatl_emp_3	92112579	ovn_halfling
wh2_main_special_settlement_hexoatl_emp_4	92112577	ovn_halfling2
wh2_main_special_settlement_hexoatl_emp_4	92112580	ovn_halfling
wh2_main_special_settlement_hexoatl_emp_5	92112578	ovn_halfling2
wh2_main_special_settlement_hexoatl_emp_5	92112581	ovn_halfling2_ogres
wh2_main_special_settlement_itza_emp_1	92112582	ovn_halfling
wh2_main_special_settlement_itza_emp_2	92112583	ovn_halfling
wh2_main_special_settlement_itza_emp_3	92112584	ovn_halfling
wh2_main_special_settlement_itza_emp_3	92112587	ovn_halfling
wh2_main_special_settlement_itza_emp_4	92112585	ovn_halfling2
wh2_main_special_settlement_itza_emp_4	92112588	ovn_halfling
wh2_main_special_settlement_itza_emp_5	92112586	ovn_halfling2
wh2_main_special_settlement_itza_emp_5	92112589	ovn_halfling2_ogres
wh2_main_special_settlement_karaz_a_karak_emp_1	92112590	ovn_halfling
wh2_main_special_settlement_karaz_a_karak_emp_2	92112591	ovn_halfling
wh2_main_special_settlement_karaz_a_karak_emp_3	92112592	ovn_halfling
wh2_main_special_settlement_karaz_a_karak_emp_3	92112595	ovn_halfling
wh2_main_special_settlement_karaz_a_karak_emp_4	92112593	ovn_halfling2
wh2_main_special_settlement_karaz_a_karak_emp_4	92112596	ovn_halfling
wh2_main_special_settlement_karaz_a_karak_emp_5	92112594	ovn_halfling2
wh2_main_special_settlement_karaz_a_karak_emp_5	92112597	ovn_halfling2_ogres
wh2_main_special_settlement_khemri_emp_1	92112598	ovn_halfling
wh2_main_special_settlement_khemri_emp_2	92112599	ovn_halfling
wh2_main_special_settlement_khemri_emp_3	92112600	ovn_halfling
wh2_main_special_settlement_khemri_emp_3	92112603	ovn_halfling
wh2_main_special_settlement_khemri_emp_4	92112601	ovn_halfling2
wh2_main_special_settlement_khemri_emp_4	92112604	ovn_halfling
wh2_main_special_settlement_khemri_emp_4	92112606	ovn_halfling
wh2_main_special_settlement_khemri_emp_5	92112602	ovn_halfling2
wh2_main_special_settlement_khemri_emp_5	92112605	ovn_halfling2_ogres
wh2_main_special_settlement_khemri_emp_5	92112607	ovn_halfling
wh2_main_special_settlement_lahmia_emp_1	92112608	ovn_halfling
wh2_main_special_settlement_lahmia_emp_2	92112609	ovn_halfling
wh2_main_special_settlement_lahmia_emp_3	92112610	ovn_halfling
wh2_main_special_settlement_lahmia_emp_3	92112613	ovn_halfling
wh2_main_special_settlement_lahmia_emp_4	92112611	ovn_halfling2
wh2_main_special_settlement_lahmia_emp_4	92112614	ovn_halfling
wh2_main_special_settlement_lahmia_emp_5	92112612	ovn_halfling2
wh2_main_special_settlement_lahmia_emp_5	92112615	ovn_halfling2_ogres
wh2_main_special_settlement_lothern_emp_1	92112616	ovn_halfling
wh2_main_special_settlement_lothern_emp_2	92112617	ovn_halfling
wh2_main_special_settlement_lothern_emp_3	92112618	ovn_halfling
wh2_main_special_settlement_lothern_emp_4	92112619	ovn_halfling
wh2_main_special_settlement_lothern_emp_5	92112620	ovn_halfling2
wh2_main_special_settlement_naggarond_emp_1	92112621	ovn_halfling
wh2_main_special_settlement_naggarond_emp_2	92112622	ovn_halfling
wh2_main_special_settlement_naggarond_emp_3	92112623	ovn_halfling
wh2_main_special_settlement_naggarond_emp_4	92112624	ovn_halfling
wh2_main_special_settlement_naggarond_emp_5	92112625	ovn_halfling2
wh2_main_special_settlement_sartosa_emp_1	92112626	ovn_halfling
wh2_main_special_settlement_sartosa_emp_2	92112627	ovn_halfling
wh2_main_special_settlement_sartosa_emp_3	92112628	ovn_halfling
wh2_main_special_settlement_sartosa_emp_3	92112631	ovn_halfling
wh2_main_special_settlement_sartosa_emp_4	92112629	ovn_halfling2
wh2_main_special_settlement_sartosa_emp_4	92112632	ovn_halfling
wh2_main_special_settlement_sartosa_emp_4	92112634	ovn_halfling
wh2_main_special_settlement_sartosa_emp_5	92112630	ovn_halfling2
wh2_main_special_settlement_sartosa_emp_5	92112633	ovn_halfling2_ogres
wh2_main_special_settlement_sartosa_emp_5	92112635	ovn_halfling
wh2_main_special_settlement_the_awakening_emp_1	92112636	ovn_halfling
wh2_main_special_settlement_the_awakening_emp_2	92112637	ovn_halfling
wh2_main_special_settlement_the_awakening_emp_3	92112638	ovn_halfling
wh2_main_special_settlement_the_awakening_emp_3	92112641	ovn_halfling2
wh2_main_special_settlement_the_awakening_emp_4	92112639	ovn_halfling
wh2_main_special_settlement_the_awakening_emp_4	92112642	ovn_halfling2
wh2_main_special_settlement_the_awakening_emp_5	92112640	ovn_halfling2
wh2_main_special_settlement_the_awakening_emp_5	92112643	ovn_halfling3
wh_main_sch_special_moot_cauldron_1	92112644	ovn_halfling_landmark
ovn_hlf_welf_1	92112945	wh_dlc05_wef_dryads
ovn_hlf_welf_2	92112946	wh_dlc05_wef_dryads
ovn_hlf_welf_2	92112947	wh_dlc05_wef_dryads
ovn_hlf_welf_3	92112948	wh_dlc05_wef_dryads
ovn_hlf_welf_3	92112949	wh2_dlc10_hef_mon_treeman_0
