character_animation_set	mount_unit	rider_animation_set	vfx_filter_override
cam_hu1_empire_staff_and_sword	albion_truthsayer_beast_horse	cam_hu1_empire_hr1_warhorse_staff_and_sword	0
cam_hu1_empire_staff_and_sword	albion_truthsayer_light_horse	cam_hu1_empire_hr1_warhorse_staff_and_sword	0
cam_hu1_empire_staff_and_sword	albion_truthsayer_life_horse	cam_hu1_empire_hr1_warhorse_staff_and_sword	0
cam_hu1_empire_staff_and_sword	albion_truthsayer_truth_horse	cam_hu1_empire_hr1_warhorse_staff_and_sword	0
cam_hu1c_chaos_staff_and_sword	albion_chief_horse	cam_hu1c_chaos_hr1_warhorse_staff_and_sword	0
cam_hu1c_chaos_staff_and_sword	albion_chief_chariot	cam_lord_hu1c_chaos_wm_chaos_chariot_axe_and_shield	0
cam_hu1c_chaos_staff_and_sword	albion_wyrd_druid_horse	cam_hu1c_chaos_hr1_warhorse_staff_and_sword	0
cam_hu1_empire_staff_and_sword	bl_elo_dural_durak_horse	cam_hu1_empire_hr1_warhorse_staff_and_sword	0
cam_hu1_empire_staff_and_sword	bl_elo_dural_durak_chariot	cam_hero_hu1_chaos_wm_chaos_chariot_staff_and_sword	0
cam_lord_hu1_settra_2handed_halberd	elo_dread_centurion_horse	cam_hu1_dlc14_hr1_warhorse_repanse_2handed_sword	0
cam_lord_hu1_settra_2handed_halberd	elo_dread_centurion_barded_horse	cam_hu1_dlc14_hr1_warhorse_repanse_2handed_sword	0
cam_lord_hu1_settra_2handed_halberd	elo_dread_centurion_chariot	cam_lord_hu1_settra_2handed_halberd_chariot	0
cam_lord_hu1_arkhan_staff_and_sword	elo_liche_general_barded_steed	cam_hu1_empire_hr1_warhorse_staff_and_sword	0
cam_lord_hu1_arkhan_staff_and_sword	elo_liche_general_chariot	cam_lord_hu1_arkhan_chariot_staff_and_sword	0
cam_lord_hu1_arkhan_staff_and_sword	elo_liche_general_warsphinx	cam_lord_hu1_arkhan_chariot_staff_and_sword	0
cam_lord_hu1_arkhan_staff_and_sword	elo_hand_of_nagash_chariot	cam_lord_hu1_arkhan_chariot_staff_and_sword	0
cam_hu1_empire_sword_and_shield	morgan_bernhardt	cam_hu1_empire_hr1_warhorse_lance_sword_shield	0
cam_hu1_empire_staff_and_sword	arb_vizier_fire_1	cam_hu1_empire_hr1_warhorse_staff_and_sword	0
cam_hu1_empire_staff_and_sword	arb_vizier_fire_2	cam_hu1_empire_wm_corpsecart01_staff_and_sword	0
cam_hu1_empire_staff_and_sword	arb_vizier_life_1	cam_hu1_empire_hr1_warhorse_staff_and_sword	0
cam_hu1_empire_staff_and_sword	arb_vizier_life_2	cam_hu1_empire_wm_corpsecart01_staff_and_sword	0
cam_hu1_empire_staff_and_sword	arb_vizier_heavens_1	cam_hu1_empire_hr1_warhorse_staff_and_sword	0
cam_hu1_empire_staff_and_sword	arb_vizier_heavens_2	cam_hu1_empire_wm_corpsecart01_staff_and_sword	0
cam_hu1_empire_staff_and_sword	arb_vizier_desert_1	cam_hu1_empire_hr1_warhorse_staff_and_sword	0
cam_hu1_empire_staff_and_sword	arb_vizier_desert_2	cam_hu1_empire_wm_corpsecart01_staff_and_sword	0
cam_hu1c_chaos_axe_and_shield	ribspreader_mammoth	cam_hu1c_chaos_hq3_mammoth_sword_and_shield	0
cam_hu1d_elf_sword	ovn_stormrider_mount	cam_lord_hu1d_elf_hr1_warhorse_sword	0
cam_lord_hu1b_elf_sword_and_bow	arb_fatandira_warhorse	cam_lord_hu1b_elf_hr1_warhorse_sword_bow	0
cam_lord_hu1b_elf_sword_and_bow	arb_fatandira_roc	cam_lord_hu1b_elf_bi1_eagle_wb_sword_and_shield	0
cam_hu1_empire_staff_and_sword	arb_golden_magus_camel	cam_hu1_empire_hr1_warhorse_staff_and_sword	0
cam_ovn_mtl_mnt_master_chef_wagon	ovn_hlf_master_chef_1	cam_ovn_mtl_mnt_master_chef_wagon	0
cam_ovn_mtl_mnt_poultry_general_lord	ovn_hlf_moot_general_2	ovn_mtl_mnt_poultry_general_lord	0
cam_ovn_mtl_mnt_swine_sheriff	ovn_hlf_sheriff_1	cam_ovn_mtl_mnt_swine_sheriff	0
cam_hu3_dwarf_2handed_axe_ungrim	ovn_hlf_sheriff_1	cam_hu3_bel_2h	0
cam_hu5_goblin_staff_and_sword	elo_boglar_shaman_hound	cam_hu5_goblin_wf1_wolf_staff_and_sword	0
cam_hu1_empire_staff_and_sword	vmp_cha_walach_nightmare	cam_hu1_empire_hr1_warhorse_staff_and_sword	0
cam_hu3_dwarf_axe_and_shield	ovn_hlf_ll_battle_ram	cam_ovn_mtl_mnt_swine_sheriff	0
cam_hu3_dwarf_axe_and_shield	ovn_hlf_ll_swan	cam_hu3_halfling_bi1_swan_sword_and_bow	0
cam_hu3_dwarf_axe_and_shield	ovn_hlf_moot_general_3	cam_hu3_halfling_bi1_swan_sword_and_bow	0
cam_hu3_dwarf_axe_shield_and_crossbow	ovn_hlf_fieldwarden_1	cam_hu3_halfling_bi1_swan_sword_and_bow	0
