effect_bonus_value_unit_ability_junctions_tables	0
effect_magic_ice_reduce_wom_cost_chill_blast_upgraded	cost_mod	spell_ice_chill_blast_upgraded
effect_magic_ice_enable_chill_blast_upgraded	enable_overchage	spell_ice_chill_blast
effect_magic_ice_enable_ice_blizzard	enable	spell_ice_ice_blizzard
effect_magic_ice_enable_ice_blizzard_upgraded	enable	spell_ice_ice_blizzard
effect_magic_ice_cooldown_ice_blizzard	recharge_mod	spell_ice_ice_blizzard
effect_magic_ice_miscast_reduction_ice_blizzard_upgraded	miscast_percentage_mod	spell_ice_ice_blizzard_upgraded
effect_magic_ice_reduce_wom_cost_ice_blizzard	cost_mod	spell_ice_ice_blizzard
effect_magic_ice_reduce_wom_cost_ice_blizzard_upgraded	cost_mod	spell_ice_ice_blizzard_upgraded
effect_magic_ice_enable_ice_blizzard_upgraded	enable_overchage	spell_ice_ice_blizzard
effect_magic_ice_enable_tempest	enable	spell_ice_tempest
effect_magic_ice_enable_tempest_upgraded	enable	spell_ice_tempest
effect_magic_ice_cooldown_tempest	recharge_mod	spell_ice_tempest
effect_magic_ice_miscast_reduction_tempest_upgraded	miscast_percentage_mod	spell_ice_tempest_upgraded
effect_magic_ice_reduce_wom_cost_tempest	cost_mod	spell_ice_tempest
effect_magic_ice_reduce_wom_cost_tempest_upgraded	cost_mod	spell_ice_tempest_upgraded
effect_magic_ice_enable_tempest_upgraded	enable_overchage	spell_ice_tempest
effect_magic_ice_enable_hailstorm	enable	spell_ice_hailstorm
effect_magic_ice_enable_hailstorm_upgraded	enable	spell_ice_hailstorm
effect_magic_ice_cooldown_hailstorm	recharge_mod	spell_ice_hailstorm
effect_magic_ice_miscast_reduction_hailstorm_upgraded	miscast_percentage_mod	spell_ice_hailstorm_upgraded
effect_magic_ice_reduce_wom_cost_hailstorm	cost_mod	spell_ice_hailstorm
effect_magic_ice_reduce_wom_cost_hailstorm_upgraded	cost_mod	spell_ice_hailstorm_upgraded
effect_magic_ice_enable_hailstorm_upgraded	enable_overchage	spell_ice_hailstorm
effect_ability_enable_ice_winter	enable	lore_passive_ice_winter
grudge_effect_ability_enable_ballistics_calibration1	enable	grudge_ballistics_calibration1
grudge_effect_ability_disable_ballistics_calibration1	disable	grudge_ballistics_calibration1
grudge_effect_ability_enable_ballistics_calibration2	enable	grudge_ballistics_calibration2
grudge_effect_ability_disable_ballistics_calibration2	disable	grudge_ballistics_calibration2
grudge_effect_ability_enable_ballistics_calibration3	enable	grudge_ballistics_calibration3
grudge_effect_ability_enable_explosion1	enable	grudge_explosion1
grudge_effect_ability_enable_apexplosion1	enable	grudge_apexplosion1
grudge_effect_ability_disable_explosion1	disable	grudge_explosion1
grudge_effect_ability_enable_explosion2	enable	grudge_explosion2
grudge_effect_ability_disable_apexplosion1	disable	grudge_apexplosion1
grudge_effect_ability_enable_apexplosion2	enable	grudge_apexplosion2
grudge_effect_ability_disable_explosion2	disable	grudge_explosion2
grudge_effect_ability_enable_explosion3	enable	grudge_explosion3
grudge_effect_ability_disable_apexplosion2	disable	grudge_apexplosion2
grudge_effect_ability_enable_apexplosion3	enable	grudge_apexplosion3
effect_magic_ice_reduce_wom_cost	cost_mod	spell_ice_shield_of_cold_upgraded
effect_magic_ice_reduce_wom_cost	cost_mod	spell_ice_shield_of_cold
effect_magic_ice_reduce_wom_cost	cost_mod	spell_ice_frost_blade_upgraded
effect_magic_ice_reduce_wom_cost	cost_mod	spell_ice_frost_blade
effect_magic_ice_reduce_wom_cost	cost_mod	spell_ice_crisping_cold_upgraded
effect_magic_ice_reduce_wom_cost	cost_mod	spell_ice_crisping_cold
effect_magic_ice_reduce_wom_cost	cost_mod	spell_ice_shattering_frost_upgraded
effect_magic_ice_reduce_wom_cost	cost_mod	spell_ice_shattering_frost
effect_magic_ice_reduce_wom_cost	cost_mod	spell_ice_chill_upgraded
effect_magic_ice_reduce_wom_cost	cost_mod	spell_ice_chill
effect_magic_ice_reduce_wom_cost	cost_mod	spell_ice_blinding_blizzard_upgraded
effect_magic_ice_reduce_wom_cost	cost_mod	spell_ice_blinding_blizzard
effect_magic_ice_reduce_wom_cost	cost_mod	spell_ice_ice_shards_upgraded
effect_magic_ice_reduce_wom_cost	cost_mod	spell_ice_ice_shards
effect_magic_ice_reduce_wom_cost	cost_mod	spell_ice_storm_strike
effect_magic_ice_reduce_wom_cost	cost_mod	spell_ice_storm_strike_upgraded
effect_magic_ice_reduce_wom_cost	cost_mod	spell_ice_chill_blast
effect_magic_ice_reduce_wom_cost	cost_mod	spell_ice_chill_blast_upgraded
effect_magic_ice_reduce_wom_cost	cost_mod	spell_ice_ice_blizzard
effect_magic_ice_reduce_wom_cost	cost_mod	spell_ice_ice_blizzard_upgraded
effect_magic_ice_reduce_wom_cost	cost_mod	spell_ice_tempest
effect_magic_ice_reduce_wom_cost	cost_mod	spell_ice_tempest_upgraded
effect_magic_ice_reduce_wom_cost	cost_mod	spell_ice_hailstorm
effect_magic_ice_reduce_wom_cost	cost_mod	spell_ice_hailstorm_upgraded
grudge_effect_ability_enable_the_reikland_runefang	enable	grudge_weapon_abilities_the_reikland_runefang
grudge_effect_ability_enable_grudgebringer_sword	enable	grudge_weapon_abilities_grudgebringer_sword
grudge_effect_ability_enable_hellfire_sword	enable	grudge_weapon_abilities_hellfire_sword
grudge_effect_ability_enable_storm_sword	enable	grudge_weapon_abilities_storm_sword
grudge_effect_ability_enable_horn_of_urgok	enable	grudge_item_abilities_horn_of_urgok
grudge_effect_ability_enable_banner_of_wrath	enable	grudge_item_abilities_banner_of_wrath
grudge_effect_ability_enable_spelleater_shield	enable	grudge_item_abilities_spelleater_shield
grudge_effect_ability_enable_banner_of_arcane_warding	enable	grudge_item_abilities_banner_of_arcane_warding
grudge_skill_ability_swiftness_of_itzl	enable	grudge_ability_swiftness_of_itzl
grudge_skill_ability_skv_verminous_valour	enable	grudge_ability_skv_verminous_valour
obo_effect_enable_ability_extra_powder	enable	wh2_dlc11_unit_passive_extra_powder
obo_effect_enable_ability_more_powder	enable	wh2_dlc11_hero_abilities_more_powder
