key	destroyed_model	destruction_animation	engine_type	gun_animation_table	missile_weapon	model	battle_entity	asset_folder	variant	draught_attachment_point	tech_folder	rider_attachment_point	first_person	destruct_model	destruct_anim	destruct_meta
grudge_main_emp_cannon	warmachines\engines\emp_great_cannon\emp_great_cannon_destroyed.rigid_model_v2	emp_great_cannon_destruct	Generic_3_Crew	wm_great_cannon01	grudge_main_emp_cannon	grb_grudgebringer_cannon	wh_main_emp_art_great_cannon						emp_great_cannon			
wm_stonethrower_albion	warmachines\engines\grn_rocklobber\grn_rocklobber_01_destroyed.rigid_model_v2	grn_rocklobber_destruct	Generic_3_Crew	wm_rock_lobber01	stonethrower_rock	grn_rocklobber	wh_main_grn_art_goblin_rock_lobber						grn_goblin_rock_lobber			
dread_legion_chariot_01	warmachines\chariot\tmb_general_chariot\dread_legion_chariot_01_destroyed.rigid_model_v2	tmb_tomb_chariot_general_destruct	Generic_No_Crew_Rotate	wm_tomb_chariot01		dread_legion_chariot_01	wh2_dlc09_tmb_vehicle_chariot			ap_draughtposition	warmachines\chariot\tmb_general_chariot\tech					
hand_of_nagash_chariot	warmachines\chariot\tmb_arkhan_chariot\hand_of_nagash_chariot_01_destroyed.rigid_model_v2	hand_of_nagash_chariot_destruct	Generic_No_Crew_Rotate	wm_tomb_chariot01		hand_of_nagash_chariot	hand_of_nagash_vehicle_chariot			ap_draughtposition	warmachines\chariot\tmb_chariot_of_the_gods\tech					
akp_brt_ballista	warmachines/engines/akp_bolt_thrower/akp_bolt_thrower_destroyed.rigid_model_v2	dwf_bolt_thrower_destruct	Generic_3_Crew	wm_bolt_thrower02	wh_dlc06_dwf_bolt_thrower_bolt	akp_brt_ballista	wh_dlc06_dwf_art_boltthrower						brt_field_trebuchet			
ovn_arb_veh_golden_magus_ship	warmachines\chariot\arb_golden_magus_ship\arb_golden_magus_ship_01_destroyed.wsmodel	arb_ship_destruct	Generic_No_Crew_Rotate	wm_mortisengine01		arb_ship	ovn_vehicle_arb_golden_magus_ship				warmachines\chariot\arb_golden_magus_ship\tech	ap_crewposition				
halfling_cat	warmachines\engines\grn_rocklobber\grn_rocklobber_01_destroyed.rigid_model_v2	grn_rocklobber_destruct	Generic_3_Crew	wm_rock_lobber01	hotpot	grn_rocklobber	wh_main_grn_art_goblin_rock_lobber						grn_goblin_rock_lobber			
wh_main_dwf_veh_dwarf_tank	warmachines\engines\emp_steam_tank\emp_steam_tank_destroyed_01.rigid_model_v2	emp_steam_tank_destruct	Generic_No_Crew_Rotate	wm_steam_tank01		dwf_dwarf_tank	wh_main_vehicle_steam_tank				warmachines\engines\emp_steam_tank\tech		emp_steamtank			
elo_albion_chariot	warmachines\chariot\tmb_basic_chariot\elo_albion_chariot_01_destroyed.rigid_model_v2	tmb_tomb_chariot_destruct	Generic_No_Crew_Rotate	wm_tomb_chariot01		albion_chariot	wh2_dlc09_tmb_vehicle_chariot			ap_draughtposition	warmachines\chariot\tmb_basic_chariot\tech					
fim_shrine_balor_01	warmachines\carriage\fim_shrine_balor\fim_shrine_balor_destroyed_01.rigid_model_v2	fim_shrine_balor_01_destruct	Generic_No_Crew_Rotate	wm_war_altar01		fim_shrine_balor_01	fim_eye_oculus_articulation			ap_draughtposition	warmachines\carriage\fim_shrine_balor\tech	ap_crewposition				
