id	mission_key	option_key	value
250590038	ovn_grudge_vortex_take_kasabar	VAR_MISSION_LENGTH_MOD_HARD	1.2
250590039	ovn_grudge_vortex_take_kasabar	VAR_MISSION_LENGTH_MOD_NORMAL	1.5
250590040	ovn_grudge_vortex_take_kasabar	VAR_MISSION_LENGTH_MOD_VERY_HARD	1.0
250590041	ovn_grudge_vortex_move_to_swem	VAR_OBJECTIVE_PROVINCE	wh2_main_vor_southlands_world_edge_mountains
250590042	ovn_grudge_vortex_move_to_swem	VAR_CHANCE	100
250590043	ovn_grudge_vortex_move_to_swem	VAR_FOLLOWUP_CHANCE	100
250590044	ovn_grudge_vortex_move_to_swem	GEN_TARGET_NONE	
250590045	ovn_grudge_vortex_move_to_swem	CND_CAMPAIGN	wh2_main_great_vortex
250590046	ovn_grudge_vortex_move_to_swem	VAR_FOLLOWUP_CHANCE	100
250590047	ovn_grudge_vortex_move_to_swem	VAR_MISSION_LENGTH_MAX	18
250590048	ovn_grudge_vortex_move_to_swem	VAR_MISSION_LENGTH_MIN	16
250590049	ovn_grudge_vortex_move_to_swem	VAR_MISSION_LENGTH_ADDITIONAL_MAX	2
250590050	ovn_grudge_vortex_move_to_swem	VAR_MISSION_LENGTH_ADDITIONAL_MIN	0
250590051	ovn_grudge_vortex_move_to_swem	VAR_MISSION_LENGTH_MOD_EASY	2.0
250590052	ovn_grudge_vortex_move_to_swem	VAR_MISSION_LENGTH_MOD_HARD	1.2
250590053	ovn_grudge_vortex_move_to_swem	VAR_MISSION_LENGTH_MOD_NORMAL	1.5
250590054	ovn_grudge_vortex_move_to_swem	VAR_MISSION_LENGTH_MOD_VERY_HARD	1.0
250590055	ovn_grudge_vortex_kill_dk	CND_CAMPAIGN	wh2_main_great_vortex
250590056	ovn_grudge_vortex_kill_dk	GEN_CND_FACTION	wh2_dlc09_tmb_the_sentinels
250590057	ovn_grudge_vortex_kill_dk	GEN_CND_FACTION_LEADER	wh2_dlc09_tmb_the_sentinels
250590058	ovn_grudge_vortex_kill_dk	GEN_TARGET_CHARACTER	
250590059	ovn_grudge_vortex_kill_dk	VAR_CHANCE	100
250590060	ovn_grudge_vortex_kill_dk	VAR_FOLLOWUP_CHANCE	100
250590061	ovn_grudge_vortex_kill_arkhan	CND_CAMPAIGN	wh2_main_great_vortex
250590062	ovn_grudge_vortex_kill_arkhan	GEN_CND_FACTION	wh2_dlc09_tmb_followers_of_nagash
250590063	ovn_grudge_vortex_kill_arkhan	GEN_CND_FACTION_LEADER	
250590064	ovn_grudge_vortex_kill_arkhan	GEN_TARGET_CHARACTER	
250590065	ovn_grudge_vortex_kill_arkhan	VAR_FOLLOWUP_CHANCE	100
250590066	ovn_grudge_vortex_kill_arkhan	VAR_CHANCE	100
250590067	ovn_grudge_me_take_zandri	GEN_TARGET_NONE	
250590068	ovn_grudge_me_take_zandri	VAR_FOLLOWUP_CHANCE	100
250590069	ovn_grudge_me_take_zandri	VAR_CHANCE	100
250590070	ovn_grudge_me_take_zandri	CND_CAMPAIGN	main_warhammer
250590071	ovn_grudge_me_take_zandri	VAR_MISSION_LENGTH_MAX	40
250590072	ovn_grudge_me_take_zandri	VAR_MISSION_LENGTH_MIN	34
250590073	ovn_grudge_me_take_zandri	VAR_MISSION_LENGTH_ADDITIONAL_MAX	2
250590074	ovn_grudge_me_take_zandri	VAR_MISSION_LENGTH_ADDITIONAL_MIN	0
250590075	ovn_grudge_me_take_zandri	VAR_MISSION_LENGTH_MOD_EASY	2.0
250590076	ovn_grudge_me_take_zandri	VAR_MISSION_LENGTH_MOD_HARD	1.2
250590077	ovn_grudge_me_take_zandri	VAR_MISSION_LENGTH_MOD_NORMAL	1.5
250590078	ovn_grudge_me_take_zandri	VAR_MISSION_LENGTH_MOD_VERY_HARD	1.0
250590079	ovn_grudge_me_take_morgheim	GEN_TARGET_NONE	
250590080	ovn_grudge_me_take_morgheim	VAR_CHANCE	100
250590081	ovn_grudge_me_take_morgheim	CND_CAMPAIGN	main_warhammer
250590082	ovn_grudge_me_take_morgheim	VAR_MISSION_LENGTH_MAX	40
250590083	ovn_grudge_me_take_morgheim	VAR_MISSION_LENGTH_MIN	34
250590084	ovn_grudge_me_take_morgheim	VAR_MISSION_LENGTH_ADDITIONAL_MAX	2
250590085	ovn_grudge_me_take_morgheim	VAR_MISSION_LENGTH_ADDITIONAL_MIN	0
250590086	ovn_grudge_me_take_morgheim	VAR_MISSION_LENGTH_MOD_EASY	2.0
250590087	ovn_grudge_me_take_morgheim	VAR_MISSION_LENGTH_MOD_HARD	1.2
250590088	ovn_grudge_me_take_morgheim	VAR_MISSION_LENGTH_MOD_NORMAL	1.5
250590089	ovn_grudge_me_take_morgheim	VAR_MISSION_LENGTH_MOD_VERY_HARD	1.0
250590090	ovn_grudge_me_take_kasabar	GEN_TARGET_REGION	
250590091	ovn_grudge_me_take_kasabar	VAR_FOLLOWUP_CHANCE	100
250590092	ovn_grudge_me_take_kasabar	VAR_CHANCE	100
250590093	ovn_grudge_me_take_kasabar	GEN_CND_REGION	wh2_main_shifting_sands_ka-sabar
250590094	ovn_grudge_me_take_kasabar	CND_CAMPAIGN	main_warhammer
250590095	ovn_grudge_me_take_kasabar	VAR_MISSION_LENGTH_MAX	28
250590096	ovn_grudge_me_take_kasabar	VAR_MISSION_LENGTH_MIN	20
250590097	ovn_grudge_me_take_kasabar	VAR_MISSION_LENGTH_ADDITIONAL_MAX	2
250590098	ovn_grudge_me_take_kasabar	VAR_MISSION_LENGTH_ADDITIONAL_MIN	0
250590099	ovn_grudge_me_take_kasabar	VAR_MISSION_LENGTH_MOD_EASY	2.0
250590100	ovn_grudge_me_take_kasabar	VAR_MISSION_LENGTH_MOD_HARD	1.2
250590101	ovn_grudge_me_take_kasabar	VAR_MISSION_LENGTH_MOD_NORMAL	1.5
250590102	ovn_grudge_me_take_kasabar	VAR_MISSION_LENGTH_MOD_VERY_HARD	1.0
250590103	ovn_grudge_me_move_to_swem	VAR_OBJECTIVE_PROVINCE	wh2_main_charnel_valley
250590104	ovn_grudge_me_move_to_swem	VAR_FOLLOWUP_CHANCE	100
250590105	ovn_grudge_me_move_to_swem	VAR_CHANCE	100
250590106	ovn_grudge_me_move_to_swem	GEN_TARGET_NONE	
250590107	ovn_grudge_me_move_to_swem	CND_CAMPAIGN	main_warhammer
250590108	ovn_grudge_me_move_to_swem	VAR_FOLLOWUP_CHANCE	100
250590109	ovn_grudge_me_move_to_swem	VAR_MISSION_LENGTH_MAX	27
250590110	ovn_grudge_me_move_to_swem	VAR_MISSION_LENGTH_MIN	24
250590111	ovn_grudge_me_move_to_swem	VAR_MISSION_LENGTH_ADDITIONAL_MAX	2
250590112	ovn_grudge_me_move_to_swem	VAR_MISSION_LENGTH_ADDITIONAL_MIN	0
250590113	ovn_grudge_me_move_to_swem	VAR_MISSION_LENGTH_MOD_EASY	2.0
250590114	ovn_grudge_me_move_to_swem	VAR_MISSION_LENGTH_MOD_HARD	1.2
250590115	ovn_grudge_me_move_to_swem	VAR_MISSION_LENGTH_MOD_NORMAL	1.5
250590116	ovn_grudge_me_move_to_swem	VAR_MISSION_LENGTH_MOD_VERY_HARD	1.0
250590117	ovn_grudge_me_kill_dk	CND_CAMPAIGN	main_warhammer
250590118	ovn_grudge_me_kill_dk	GEN_CND_FACTION	wh2_dlc09_tmb_the_sentinels
250590119	ovn_grudge_me_kill_dk	GEN_CND_FACTION_LEADER	wh2_dlc09_tmb_the_sentinels
250590120	ovn_grudge_me_kill_dk	GEN_TARGET_CHARACTER	
250590121	ovn_grudge_me_kill_dk	VAR_CHANCE	100
250590122	ovn_grudge_me_kill_dk	VAR_FOLLOWUP_CHANCE	100
250590123	ovn_grudge_me_kill_arkhan	CND_CAMPAIGN	main_warhammer
250590124	ovn_grudge_me_kill_arkhan	GEN_CND_FACTION	wh2_dlc09_tmb_followers_of_nagash
250590125	ovn_grudge_me_kill_arkhan	GEN_CND_FACTION_LEADER	
250590126	ovn_grudge_me_kill_arkhan	GEN_TARGET_CHARACTER	
250590127	ovn_grudge_me_kill_arkhan	VAR_CHANCE	100
250590128	ovn_grudge_me_kill_arkhan	VAR_FOLLOWUP_CHANCE	100
250590129	ovn_dk_vortex_take_morgheim	GEN_TARGET_REGION	
250590130	ovn_dk_vortex_take_morgheim	VAR_CHANCE	100
250590131	ovn_dk_vortex_take_morgheim	GEN_CND_REGION	wh2_main_vor_southern_badlands_galbaraz
250590132	ovn_dk_vortex_take_morgheim	CND_CAMPAIGN	wh2_main_great_vortex
250590133	ovn_dk_me_take_morgheim	GEN_TARGET_REGION	
250590134	ovn_dk_me_take_morgheim	VAR_CHANCE	100
250590135	ovn_dk_me_take_morgheim	GEN_CND_REGION	wh2_main_marshes_of_madness_morgheim
250590136	ovn_dk_me_take_morgheim	CND_CAMPAIGN	main_warhammer
250590137	ovn_blood_dragons_me_take_templehof	GEN_TARGET_REGION	
250590138	ovn_blood_dragons_me_take_templehof	VAR_CHANCE	100
250590139	ovn_blood_dragons_me_take_templehof	GEN_CND_REGION	wh_main_western_sylvania_castle_templehof
250590140	ovn_blood_dragons_me_take_templehof	CND_CAMPAIGN	main_warhammer
250590141	ovn_blood_dragons_me_take_nuln	GEN_TARGET_REGION	
250590142	ovn_blood_dragons_me_take_nuln	VAR_CHANCE	100
250590143	ovn_blood_dragons_me_take_nuln	GEN_CND_REGION	wh_main_wissenland_nuln
250590144	ovn_blood_dragons_me_take_nuln	CND_CAMPAIGN	main_warhammer
250590145	ovn_blood_dragons_me_take_couronne	GEN_TARGET_REGION	
250590146	ovn_blood_dragons_me_take_couronne	VAR_FOLLOWUP_CHANCE	100
250590147	ovn_blood_dragons_me_take_couronne	VAR_CHANCE	100
250590148	ovn_blood_dragons_me_take_couronne	GEN_CND_REGION	wh_main_couronne_et_languille_couronne
250590149	ovn_blood_dragons_me_take_couronne	CND_CAMPAIGN	main_warhammer
250590150	ovn_blood_dragons_me_take_altdorf	GEN_TARGET_REGION	
250590151	ovn_blood_dragons_me_take_altdorf	VAR_CHANCE	100
250590152	ovn_blood_dragons_me_take_altdorf	GEN_CND_REGION	wh_main_reikland_altdorf
250590153	ovn_blood_dragons_me_take_altdorf	CND_CAMPAIGN	main_warhammer
