battle_set_piece_armies_characters_tables	7
character_level	character_name	forename	magic_lore	num_men	surname	unit_type	agent_type	agent_subtype	portrait	character_model	skillset	male
1	albion_morrigan	77777001	elo_lore_morrigan	100	77777002	albion_morrigan	general	albion_morrigan	ui/portraits/portholes/no_culture/wh_main_dwf_cha_greybeard.png	120211		false
1	bl_elo_dural_durak	77777202	elo_lore_truthsayer	100	77777201	bl_elo_dural_durak	general	bl_elo_dural_durak	ui/portraits/portholes/no_culture/wh_main_dwf_cha_greybeard.png	120212		true
1	elo_dread_centurion	2147345100		100	2147345172	elo_dread_centurion	champion	elo_dread_centurion	ui/portraits/portholes/wh_main_vmp_vampire_counts/vmp_wight_king_sword_campaign_01_0.png	190901	wh_main_skill_node_set_all_champion	true
1	elo_liche_general	1078273109		100	2080915970	elo_liche_general	general	elo_liche_general	ui/portraits/portholes/no_culture/elo_liche_general.png	65658901		true
1	elo_hand_of_nagash	247259237		100	247259238	elo_hand_of_nagash	general	elo_hand_of_nagash		2101874		true
1	elo_chief_ugma	77779001		100	77779002	elo_chief_ugma	general	elo_chief_ugma	ui/portraits/portholes/no_culture/elo_chief_ugma.png	119193		true
1	Sultan_Jaffar	882000	wh_main_lore_jaffar	100	882001	Sultan_Jaffar	general	Sultan_Jaffar	ui/portraits/portholes/no_culture/Sultan_Jaffar.png	7078		true
1	ovn_araby_ll	999982308		100		ovn_araby_ll	general	ovn_araby_ll	ui/portraits/portholes/no_culture/ovn_araby_ll.png	290598903		true
1	ovn_hlf_ll	999982316	wh_dlc05_lore_shadows	100		ovn_hlf_ll	general	ovn_hlf_ll	ui/portraits/portholes/no_culture/ovn_hlf_ll.png	290598904		true
1	ovn_grudge	3110890001	wh_dlc05_lore_shadows	100	3110890002	morgan_bernhardt	general	morgan_bernhardt	ui/portraits/portholes/wh_main_brt_bretonnia/brt_lords_campaign_01_0.png	311089016		true
1	ovn_araby_ll_2	999982309		100		ovn_araby_ll_2	general	ovn_araby_ll	ui/portraits/portholes/no_culture/ovn_araby_ll_2.png	290588884		true
1	fim_meargh_skattach	999982314	wh2_main_lore_dark_magic	100		fim_meargh_skattach	general	fim_meargh_skattach	ui/portraits/portholes/no_culture/fim_meargh_skattach.png	798687835		true
1	ovn_rbt_blightstormer	2147359797	wh2_main_lore_plague	100	1725206863	ovn_rbt_ch_blightstormer	wizard	rbt_blightstormer	ui/portraits/portholes/no_culture/ovn_rbt_blightstormer.png	3023082		true
1	ribspreader	999982317		100		ribspreader	general	ribspreader	ui/portraits/portholes/ribspreader/ribspreader.png	1973488301		true
1	arb_fatandira	882002		100	882003	arb_fatandira	general	arb_fatandira	ui/portraits/portholes/no_culture/arb_fatandira.png	87497939		true
1	arb_golden_magus	882008	ovn_lore_golden_magus	100	882009	arb_golden_magus	general	arb_golden_magus	ui/portraits/portholes/no_culture/arb_golden_magus.png	889387935		true
1	hlf_glibfoot	858212100		100	858212101	ovn_hlf_glibfoot	general	ovn_hlf_glibfoot	ui/portraits/portholes/no_culture/ovn_hlf_glibfoot.png	278687905		true
1	ovn_hlf_moot_general	999982316		100		ovn_hlf_moot_general_0	general	ovn_hlf_moot_general	ui/portraits/portholes/no_culture/ovn_hlf_moot_general.png	299597905		true
