uniform_name	filename	battle_filename	campaign_porthole_filename	campaign_politician_filename
elo_liche_general	elo_liche_general	elo_liche_general	elo_liche_general	
elo_hand_of_nagash	elo_hand_of_nagash	elo_hand_of_nagash	elo_hand_of_nagash	
elo_cha_troll_lord_01	elo_cha_troll_lord_01	elo_cha_troll_lord_01	elo_cha_troll_lord_01	
elo_cha_troll_lord_02	elo_cha_troll_lord_02	elo_cha_troll_lord_02	elo_cha_troll_lord_02	
elo_cha_troll_lord_03	elo_cha_troll_lord_03	elo_cha_troll_lord_03	elo_cha_troll_lord_03	
elo_chief_ugma	elo_chief_ugma_campaign	elo_chief_ugma	elo_chief_ugma	
ovn_hlf_ll	ovn_hlf_ll	ovn_hlf_ll	ovn_hlf_ll	
wh_main_uniform_morgan_bernhardt	morgan_bernhardt	morgan_bernhardt	morgan_bernhardt	
wh_main_uniform_vladimir_stormbringer	vladimir_stormbringer	vladimir_stormbringer	vladimir_stormbringer	
ovn_stormrider_mount	ovn_stormrider_mount	ovn_stormrider_mount	ovn_stormrider	
ovn_stormrider	ovn_stormrider	ovn_stormrider	ovn_stormrider	
arb_fatandira	arb_fatandira_camp	arb_fatandira	arb_fatandira	
arb_golden_magus	arb_golden_magus	arb_golden_magus	arb_golden_magus	
arb_golden_magus_camel	arb_golden_magus_horse	arb_golden_magus_horse	arb_golden_magus	
ovn_campaign_arb_ship_flaming_scimitar_army	ovn_campaign_arb_ship_flaming_scimitar_army		ovn_campaign_arb_ship_flaming_scimitar_army	
ovn_hlf_glibfoot	ovn_hlf_glibfoot	ovn_hlf_glibfoot	ovn_hlf_glibfoot	
ovn_hlf_moot_general	ovn_hlf_moot_general_0	ovn_hlf_moot_general_0	ovn_hlf_moot_general_0	
ovn_hlf_moot_general_1	ovn_hlf_moot_general_01	ovn_hlf_moot_general_01	ovn_hlf_moot_general_01	
ovn_hlf_fieldwarden	ovn_hlf_fieldwarden_0	ovn_hlf_fieldwarden_0	ovn_hlf_fieldwarden_0	
ovn_hlf_fieldwarden_1	ovn_hlf_fieldwarden_1	ovn_hlf_fieldwarden_1	ovn_hlf_fieldwarden_1	
ovn_hlf_master_chef	ovn_hlf_master_chef_0	ovn_hlf_master_chef_0	ovn_hlf_master_chef_0	
ovn_hlf_master_chef_1	ovn_hlf_master_chef_1	ovn_hlf_master_chef_1	ovn_hlf_master_chef_1	
ovn_hlf_sheriff_0	ovn_hlf_sheriff_0	ovn_hlf_sheriff_0	ovn_hlf_sheriff_0	
ovn_hlf_moot_general_1_poultry	ovn_hlf_moot_general_1_poultry	ovn_hlf_moot_general_1_poultry	ovn_hlf_moot_general_0	
ovn_hlf_moot_general_2_poultry	ovn_hlf_moot_general_2_poultry	ovn_hlf_moot_general_2_poultry	ovn_hlf_moot_general_01	
ovn_hlf_master_chef_wagon	ovn_hlf_master_chef_0_wagon	ovn_hlf_master_chef_0_wagon	ovn_hlf_master_chef_0	
ovn_hlf_master_chef_1_wagon	ovn_hlf_master_chef_1_wagon	ovn_hlf_master_chef_1_wagon	ovn_hlf_master_chef_1	
ovn_hlf_sheriff_1	ovn_hlf_sheriff_1	ovn_hlf_sheriff_1	ovn_hlf_sheriff_1	
ovn_campaign_arb_ship_agent	ovn_campaign_arb_ship_agent	ovn_campaign_arb_ship_agent	wh2_main_campaign_def_ship_agent	
ovn_campaign_arb_ship_army	ovn_campaign_arb_ship_army	ovn_campaign_arb_ship_army	wh2_main_def_ship_army	
ovn_uniform_olorin_the_grey_wizard	ovn_com_cha_olorin_the_grey_wizard	ovn_com_cha_olorin_the_grey_wizard	ovn_com_cha_olorin_the_grey_wizard	
ovn_uniform_aragand_the_layabout	ovn_com_cha_aragand_the_layabout	ovn_com_cha_aragand_the_layabout	ovn_com_cha_aragand_the_layabout	
ovn_uniform_legles_the_elf	ovn_com_cha_legles_the_elf	ovn_com_cha_legles_the_elf	ovn_com_cha_legles_the_elf	
ovn_uniform_giblit_the_dwarf	ovn_com_cha_giblit_the_dwarf	ovn_com_cha_giblit_the_dwarf	ovn_com_cha_giblit_the_dwarf	
ovn_uniform_arb_magician_life	ovn_arb_ch_magician_life	ovn_arb_ch_magician_life	ovn_arb_ch_magician_life	
ovn_uniform_arb_magicican_desert	ovn_arb_ch_magician_desert	ovn_arb_ch_magician_desert	ovn_arb_ch_magician_desert	
ovn_uniform_arb_magicican_fire	ovn_arb_ch_magician_fire	ovn_arb_ch_magician_fire	ovn_arb_ch_magician_fire	
ovn_uniform_arb_magician_heavens	ovn_arb_ch_magician_heavens	ovn_arb_ch_magician_heavens	ovn_arb_ch_magician_heavens	
ovn_uniform_arb_magician_life_carpet	ovn_arb_ch_magician_life_carpet	ovn_arb_ch_magician_life_carpet	ovn_arb_ch_magician_life_carpet	
ovn_uniform_arb_magicican_desert_carpet	ovn_arb_ch_magician_desert_carpet	ovn_arb_ch_magician_desert_carpet	ovn_arb_ch_magician_desert_carpet	
ovn_uniform_arb_magicican_fire_carpet	ovn_arb_ch_magician_fire_carpet	ovn_arb_ch_magician_fire_carpet	ovn_arb_ch_magician_fire_carpet	
ovn_uniform_arb_magician_heavens_carpet	ovn_arb_ch_magician_heavens_carpet	ovn_arb_ch_magician_heavens_carpet	ovn_arb_ch_magician_heavens_carpet	
Dread_King	Dread_King	Dread_King	Dread_King	
Dread_King_2	Dread_King_2	Dread_King_2	Dread_King_2	
Sultan_Jaffar	Sultan_Jaffar	Sultan_Jaffar	Sultan_Jaffar	
Sultan_Jaffar_horse	Sultan_Jaffar_horse	Sultan_Jaffar_horse	Sultan_Jaffar_horse	
arb_vizier_fire_0	arb_vizier_fire_0	arb_vizier_fire_0	arb_vizier_fire_0	
arb_vizier_life_0	arb_vizier_life_0	arb_vizier_life_0	arb_vizier_life_0	
arb_vizier_heavens_0	arb_vizier_heavens_0	arb_vizier_heavens_0	arb_vizier_heavens_0	
arb_vizier_desert_0	arb_vizier_desert_0	arb_vizier_desert_0	arb_vizier_desert_0	
arb_vizier_fire_1	arb_vizier_fire_1	arb_vizier_fire_1	arb_vizier_fire_1	
arb_vizier_life_1	arb_vizier_life_1	arb_vizier_life_1	arb_vizier_life_1	
arb_vizier_heavens_1	arb_vizier_heavens_1	arb_vizier_heavens_1	arb_vizier_heavens_1	
arb_vizier_desert_1	arb_vizier_desert_1	arb_vizier_desert_1	arb_vizier_desert_1	
ovn_uniform_dwf_lord_campaign_01	halfling_warfoot	halfling_warfoot	halfling_warfoot	
fim_meargh_skattach	fim_meargh_skattach	fim_meargh_skattach	fim_meargh_skattach	
ovn_rbt_blightstormer	ovn_rbt_blightstormer	ovn_rbt_blightstormer	ovn_rbt_blightstormer	
ribspreader	ribspreader_campaign	ribspreader	ribspreader	
ribspreader_campaign	ribspreader_campaign	ribspreader_campaign	ribspreader	
elo_boglar_shaman	elo_boglar_shaman	elo_boglar_shaman	elo_boglar_shaman	
elo_troll_champ	elo_troll_champ_campaign	elo_troll_champ	elo_troll_champ	
vmp_uniform_walach	vmpwalach	vmpwalach	vmpwalach	
