key	human_only
ovn_arb_crafting_followers_126	true
ovn_arb_crafting_followers_127	true
ovn_arb_crafting_followers_128	true
ovn_arb_crafting_followers_129	true
ovn_arb_crafting_followers_130	true
ovn_arb_crafting_followers_131	true
ovn_arb_crafting_followers_132	true
ovn_arb_crafting_followers_133	true
ovn_arb_crafting_followers_134	true
ovn_arb_crafting_followers_135	true
ovn_arb_crafting_followers_136	true
ovn_arb_crafting_followers_137	true
ovn_arb_crafting_followers_138	true
ovn_arb_crafting_followers_139	true
ovn_arb_crafting_followers_140	true
ovn_arb_crafting_followers_141	true
ovn_arb_crafting_followers_142	true
ovn_arb_crafting_followers_143	true
ovn_arb_crafting_followers_144	true
ovn_arb_crafting_followers_145	true
ovn_arb_crafting_followers_146	true
ovn_arb_crafting_followers_147	true
ovn_arb_crafting_followers_148	true
ovn_arb_crafting_followers_149	true
ovn_arb_crafting_followers_150	true
ovn_arb_crafting_followers_151	true
ovn_arb_crafting_followers_152	true
ovn_arb_crafting_followers_153	true
ovn_arb_crafting_followers_154	true
ovn_arb_crafting_followers_155	true
ovn_arb_crafting_followers_156	true
ovn_arb_crafting_followers_157	true
ovn_arb_crafting_followers_158	true
ovn_arb_crafting_followers_159	true
ovn_arb_crafting_followers_160	true
ovn_arb_crafting_followers_161	true
ovn_arb_crafting_followers_162	true
ovn_arb_crafting_followers_163	true
ovn_arb_crafting_followers_164	true
ovn_arb_crafting_followers_165	true
ovn_arb_crafting_followers_166	true
ovn_arb_crafting_followers_167	true
ovn_arb_crafting_followers_168	true
ovn_arb_crafting_followers_169	true
ovn_arb_crafting_followers_170	true
ovn_arb_crafting_followers_171	true
ovn_arb_crafting_followers_172	true
ovn_arb_crafting_followers_173	true
ovn_arb_crafting_followers_174	true
ovn_arb_crafting_followers_175	true
ovn_arb_crafting_followers_176	true
ovn_arb_crafting_followers_177	true
ovn_arb_crafting_followers_178	true
ovn_arb_crafting_followers_179	true
ovn_arb_crafting_followers_180	true
ovn_arb_crafting_followers_181	true
ovn_arb_crafting_followers_182	true
ovn_arb_crafting_followers_183	true
ovn_arb_crafting_followers_184	true
ovn_arb_crafting_followers_185	true
ovn_arb_crafting_followers_186	true
ovn_arb_crafting_followers_187	true
ovn_arb_crafting_followers_188	true
ovn_arb_crafting_followers_189	true
ovn_arb_crafting_followers_190	true
ovn_arb_crafting_followers_191	true
ovn_arb_crafting_followers_192	true
ovn_arb_crafting_followers_193	true
ovn_arb_crafting_followers_194	true
ovn_arb_crafting_followers_195	true
ovn_arb_crafting_followers_196	true
ovn_arb_crafting_followers_197	true
ovn_arb_crafting_followers_198	true
ovn_arb_crafting_followers_199	true
ovn_arb_crafting_followers_200	true
ovn_arb_crafting_followers_201	true
ovn_arb_crafting_followers_202	true
ovn_arb_crafting_followers_203	true
ovn_arb_crafting_followers_204	true
ovn_arb_crafting_followers_205	true
ovn_arb_crafting_followers_207	true
ovn_arb_crafting_followers_208	true
ovn_arb_crafting_followers_209	true
ovn_arb_crafting_followers_210	true
ovn_arb_crafting_followers_212	true
ovn_arb_crafting_followers_213	true
ovn_arb_crafting_followers_214	true
ovn_arb_crafting_followers_215	true
ovn_arb_crafting_followers_216	true
ovn_arb_crafting_followers_217	true
ovn_arb_crafting_followers_218	true
ovn_arb_crafting_followers_219	true
ovn_arb_crafting_followers_220	true
ovn_arb_crafting_followers_221	true
ovn_arb_crafting_followers_222	true
ovn_arb_crafting_followers_223	true
ovn_arb_crafting_followers_224	true
ovn_arb_crafting_followers_225	true
ovn_arb_crafting_followers_226	true
ovn_arb_crafting_followers_227	true
ovn_arb_crafting_followers_228	true
ovn_arb_crafting_followers_229	true
ovn_arb_crafting_followers_230	true
ovn_arb_crafting_followers_231	true
ovn_arb_crafting_followers_232	true
