key	man_animations_table	type	variant	battle_entity	rider_attachment_point	battle_entity_stats	autonomous_rider_hero
ovn_fim_cav_bog_beast_rider	hu7d_fimir_2handed_axe	autonomous_rider	ovn_fim_bog_beast_rider	wh_main_cavalry_rider_standard_blood	ap_crewposition_01		false
ovn_arb_elephant_cannon	wm_steam_tank_turret01	autonomous_rider	ovn_arb_elephant_cannon	ovn_arb_elephant_cannon	ap_turretposition_0	ovn_arb_elephant_cannon	false
ovn_arb_elephant_cannon_rider_0	hu1_dlc13_wagon01_hellblaster_crew_1	autonomous_rider	ovn_peasants_mob	wh2_dlc09_tmb_chariot_rider_bow_360	ap_crewposition_0		false
ovn_arb_elephant_cannon_rider_1	hu1_dlc13_wagon01_hellblaster_crew_2	autonomous_rider	ovn_peasants_mob	wh2_dlc09_tmb_chariot_rider_bow_360	ap_crewposition_5		false
ovn_mtl_inf_chuckwagon_rider_0	hu3_dwarf_hammer	autonomous_rider	ovn_mtl_chuckwagon_rider_0	wh_main_infantry_rider	ap_crewposition_0	ovn_mtl_inf_chuckwagon_rider	true
ovn_mtl_inf_chuckwagon_rider_1	hu3_dwarf_hammer	autonomous_rider	ovn_mtl_chuckwagon_rider_1	wh_main_infantry_rider	ap_crewposition_1	ovn_mtl_inf_chuckwagon_rider	false
ovn_arb_inf_djinn_vessel_sea	gr1_grail_reliquae	officer	ovn_arb_djinn_vessel_02	ovn_arb_inf_djinn_vessel_blood		ovn_arb_inf_djinn_vessel	false
ovn_arb_inf_djinn_vessel_desert	gr1_grail_reliquae	officer	ovn_arb_djinn_vessel_01	ovn_arb_inf_djinn_vessel_blood		ovn_arb_inf_djinn_vessel	false
ovn_arb_inf_djinn_vessel_fire	gr1_grail_reliquae	officer	ovn_arb_djinn_vessel_01	ovn_arb_inf_djinn_vessel_blood		ovn_arb_inf_djinn_vessel	false
ovn_arb_inf_djinn_vessel_tempest	gr1_grail_reliquae	officer	ovn_arb_djinn_vessel_02	ovn_arb_inf_djinn_vessel_blood		ovn_arb_inf_djinn_vessel	false
ovn_arb_cha_magician_life_rider	hu1_araby_fc1_carpet_wb_staff_and_sword	autonomous_rider	ovn_arb_ch_magician_life	wh_main_infantry_standard_wizard_rider_blood_dismembers		ovn_arb_cha_magician_rider	true
ovn_arb_cha_magician_desert_rider	hu1_araby_fc1_carpet_wb_staff_and_sword	autonomous_rider	ovn_arb_ch_magician_desert	wh_main_infantry_standard_wizard_rider_blood_dismembers		ovn_arb_cha_magician_rider	true
ovn_arb_cha_magician_fire_rider	hu1_araby_fc1_carpet_wb_staff_and_sword_fire	autonomous_rider	ovn_arb_ch_magician_fire	wh_main_infantry_standard_wizard_rider_blood_dismembers		ovn_arb_cha_magician_rider	true
ovn_arb_cha_magician_heavens_rider	hu1_araby_fc1_carpet_wb_staff_and_sword	autonomous_rider	ovn_arb_ch_magician_heavens	wh_main_infantry_standard_wizard_rider_blood_dismembers		ovn_arb_cha_magician_rider	true
wh_main_mtl_soupcart_rider_0	hu3_dwarf_axe_and_shield	autonomous_rider	wh_main_mtl_soupcart_rider	wh_main_grn_inf_goblin_blood_dismembers	ap_crewposition_1		false
wh_main_arb_elephant_rider_mahout	hu1_tomb_skeleton_dual_swords	autonomous_rider	wh_main_arb_mahout	wh_main_infantry_rider	ap_mahoutposition_0		false
wh_main_arb_elephant_rider_sheikh	hu1_tomb_wm_tomb_chariot01_sword_and_shield	autonomous_rider	wh_main_arb_sheikh_mounted	wh_main_infantry_rider	ap_lordposition_0		true
wh_main_arb_elephant_rider_0	hu1_arabyan_sword_and_longbow	autonomous_rider	OtF_khemri_archers	wh2_dlc09_tmb_chariot_rider_bow_360	ap_crewposition_0	wh2_dlc09_tmb_chariot_bow	false
wh_main_arb_elephant_rider_1	hu1_arabyan_sword_and_longbow	autonomous_rider	OtF_khemri_archers	wh2_dlc09_tmb_chariot_rider_bow_360	ap_crewposition_1	wh2_dlc09_tmb_chariot_bow	false
wh_main_arb_elephant_rider_2	hu1_arabyan_sword_and_longbow	autonomous_rider	OtF_khemri_archers	wh2_dlc09_tmb_chariot_rider_bow_360	ap_crewposition_2	wh2_dlc09_tmb_chariot_bow	false
wh_main_arb_elephant_rider_3	hu1_arabyan_sword_and_longbow	autonomous_rider	OtF_khemri_archers	wh2_dlc09_tmb_chariot_rider_bow_360	ap_crewposition_3	wh2_dlc09_tmb_chariot_bow	false
wh_main_arb_elephant_rider_4	hu1_arabyan_sword_and_longbow	autonomous_rider	OtF_khemri_archers	wh2_dlc09_tmb_chariot_rider_bow_360	ap_crewposition_4	wh2_dlc09_tmb_chariot_bow	false
wh_main_arb_elephant_rider_5	hu1_arabyan_sword_and_longbow	autonomous_rider	OtF_khemri_archers	wh2_dlc09_tmb_chariot_rider_bow_360	ap_crewposition_5	wh2_dlc09_tmb_chariot_bow	false
wh_main_arb_elephant_rider_6	hu1_arabyan_sword_and_longbow	autonomous_rider	OtF_khemri_archers	wh2_dlc09_tmb_chariot_rider_bow_360	ap_crewposition_6	wh2_dlc09_tmb_chariot_bow	false
wh_main_arb_elephant_rider_jaffar	hu1_jaffar_staff_and_sword	autonomous_rider	Sultan_Jaffar	wh_main_infantry_rider	ap_lordposition_0		true
ovn_arb_cav_scorpion_rider	hu1_cst_admiral_cr1_promethean_wb_halberd	autonomous_rider	OtF_khemri_archers	wh_main_infantry_rider	ap_crewposition_1		false
ovn_arb_inf_off	hu1_dlc14_repanse_2handed_sword	officer	ovn_arb_inf_off	wh_dlc04_infantry_flagellants_blood_dismembers			false
ovn_arb_slave_off	hu1_empire_dual_hammer	officer	ovn_arb_slave_off	wh_dlc04_infantry_flagellants_blood_dismembers			false
ovn_arb_cav_off	hu1_empire_hr1_warhorse_staff_and_sword	officer	ovn_arb_cav_off	wh_main_cavalry_fast_blood			false
ovn_arb_jez_off	hu1_empire_sword_and_pistol	officer	ovn_arb_jez_off	wh_dlc04_infantry_flagellants_blood_dismembers			false
ovn_arb_inf_sgt	hu1_dlc14_repanse_2handed_sword	officer	ovn_arb_inf_sgt	wh_dlc04_infantry_flagellants_blood_dismembers			false
housie_nec_rider_0	hu1_empire_sword_rifle	autonomous_rider	hous_crow	wh_dlc04_infantry_flagellants_blood_dismembers	ap_rider_0	wh2_dlc11_cst_mon_necrofex_colossus_rider	false
housie_nec_rider_1	hu1_cst_zombie_gi2_colossus_wb_crew_2	autonomous_rider	hous_nec_rider	wh_dlc04_infantry_flagellants_blood_dismembers	ap_rider_1	wh2_dlc11_cst_mon_necrofex_colossus_rider	false
housie_nec_rider_2	hu1_cst_zombie_gi2_colossus_wb_crew_1	autonomous_rider	hous_nec_rider	wh_dlc04_infantry_flagellants_blood_dismembers	ap_rider_2	wh2_dlc11_cst_mon_necrofex_colossus_rider	false
housie_nec_rider_3	hu1_cst_zombie_gi2_colossus_wb_crew_5	autonomous_rider	hous_nec_rider	wh_dlc04_infantry_flagellants_blood_dismembers	ap_rider_3	wh2_dlc11_cst_mon_necrofex_colossus_rider	false
housie_nec_rider_4	hu1_cst_zombie_gi2_colossus_wb_crew_4	autonomous_rider	hous_nec_rider	wh_dlc04_infantry_flagellants_blood_dismembers	ap_rider_4	wh2_dlc11_cst_mon_necrofex_colossus_rider	false
Dread_King_2	hu1_vampire_counts_dr1_zombie_dragon_wb_sword_and_shield	autonomous_rider	Dread_King_2	wh_main_infantry_rider			true
grudgebringer_infantry_officer	hu1_empire_sword_and_shield	officer	grudgebringer_infantry_officer	grudgebringer_infantry_officer		grudgebringer_infantry_officer	false
grudgebringer_cannon_officer	hu1_empire_helstorm_crew	officer	grudgebringer_cannon_officer	grudgebringer_cannon_officer			false
grudgebringer_cavalry_officer	hu1_leoncoeur_hr1_warhorse_sword_and_shield	officer	grudgebringer_cavalry_officer	grudgebringer_cavalry_officer		grudgebringer_cavalry_officer	false
azguz_bloodfist_dwarf_warriors_officer	hu3_runelord_hammer	officer	azguz_bloodfist_dwarf_warriors_officer	azguz_bloodfist_dwarf_warriors_officer		azguz_bloodfist_dwarf_warriors_officer	false
dargrimm_firebeard_dwarf_warriors_officer	hu3_runelord_hammer	officer	dargrimm_firebeard_dwarf_warriors_officer	dargrimm_firebeard_dwarf_warriors_officer		dargrimm_firebeard_dwarf_warriors_officer	false
black_avangers_officer	hu1_empire_dual_hammer	officer	black_avangers_officer	black_avangers_officer		black_avangers_officer	false
grudgebringer_crossbow_officer	hu1_empire_sword_crossbow	officer	grudgebringer_crossbow_officer	grudgebringer_crossbow_officer			false
carlsson_cavalry_officer	hu1_bretonnian_hr1_warhorse_2handed_sword	officer	carlsson_cavalry_officer	carlsson_cavalry_officer		carlsson_cavalry_officer	false
countess_guard_officer	hu1b_vampire_sword	officer	countess_guard_officer	countess_guard_officer		countess_guard_officer	false
countess_guard_officer1	hu1_empire_2handed_sword	officer	countess_guard_officer1	countess_guard_officer1		countess_guard_officer1	false
vannheim_75th_officer	hu1_empire_hr1_warhorse_sword_and_shield	officer	vannheim_75th_officer	vannheim_75th_officer		vannheim_75th_officer	false
albion_chariot_driver	hu1c_chaos_wm_chariot_whip	autonomous_rider	albion_chariot_driver	wh_main_infantry_rider	ap_crewposition_0		false
albion_chariot_fighter	hu1c_chaos_wm_chariot_halberd	autonomous_rider	albion_chariot_fighter	wh_main_infantry_rider	ap_crewposition_1		false
albion_warleader_charioteer	hu1c_chaos_wm_chariot_axe_and_shield	autonomous_rider	albion_warleader	wh_main_infantry_standard_hero_blood	ap_crewposition_1		true
albion_chief_charioteer	hu1c_chaos_wm_chariot_halberd	autonomous_rider	albion_chief	wh_main_infantry_rider	ap_crewposition_1		true
albion_morrigan_bird_rider	hu1b_elf_bi1_eagle_wb_sword	autonomous_rider	albion_morrigan_bird	wh_main_infantry_rider			true
bl_elo_dural_durak	hu1_empire_staff_and_sword	autonomous_rider	bl_elo_dural_durak	wh_main_infantry_rider	ap_crewposition_1		false
dread_chariot_driver	hu1_tomb_wm_tomb_chariot01_whip	autonomous_rider	dread_chariot_driver	wh2_dlc09_tmb_skeleton	ap_crewposition_0		false
dread_chariot_centurion	hu1_settra_wm_tomb_chariot01_2handed_halberd	autonomous_rider	elo_dread_centurion	wh2_dlc09_tmb_skeleton_infantry_hero_lord	ap_crewposition_1		true
elo_liche_general_charioteer	hu1_arkhan_wm_tomb_chariot01_staff_and_sword	autonomous_rider	elo_liche_general	wh2_dlc09_tmb_skeleton_infantry_hero_lord	ap_crewposition_1		false
warsphinx_rider_liche_general	hu1_arkhan_staff_and_sword	autonomous_rider	elo_liche_general	wh2_dlc09_tmb_skeleton_infantry_hero_lord	ap_crewposition_0		false
elo_hand_of_nagash_officer	hu1_arkhan_wm_tomb_chariot01_staff_and_sword	autonomous_rider	elo_hand_of_nagash	wh2_dlc09_tmb_skeleton_infantry_hero_lord	ap_crewposition_1		false
wh_main_emp_officer_morgan_bernhardt	hu1_paladin_hr1_warhorse_lance_sword_shield	officer	morgan_bernhardt	wh_main_emp_officer_morgan_bernhardt		wh_main_emp_officer_morgan_bernhardt	false
wh_main_emp_officer_eric_ragnar	hu1c_chaos_hr1_warhorse_sword_and_shield	officer	eric_ragnar	wh_main_emp_officer_eric_ragnar		wh_main_emp_officer_eric_ragnar	false
ribspreader_mammoth_rider	hu1c_wulfrik_hq3_wb_sword_and_shield	autonomous_rider	ribspreader_campaign	wh_main_infantry_rider_blood	ap_howdahcrew_0		true
arb_fatandira_roc	hu1b_fatandira_bi1_eagle_wb_sword_and_bow	autonomous_rider	arb_fatandira	wh2_main_hef_rider_360_hero_blood		arb_fatandira_stats	true
arb_fatandira_horse	hu1b_hef_hr1_warhorse_sword_bow	autonomous_rider	arb_fatandira	wh2_main_hef_rider_360_hero_blood		arb_fatandira_stats	true
arb_golden_magus_skiff_gm	hu1_fire_staff_and_sword	autonomous_rider	arb_golden_magus_skiff	wh_main_infantry_standard_hero_blood	ap_crewposition_6		true
arb_golden_magus_skiff_rider1	hu1_arabyan_sword_and_longbow	autonomous_rider	OtF_khemri_archers	wh2_dlc09_tmb_chariot_rider_bow_360	ap_crewposition_0	wh2_dlc09_tmb_chariot_bow	false
arb_golden_magus_skiff_rider2	hu1_arabyan_sword_and_longbow	autonomous_rider	OtF_khemri_archers	wh2_dlc09_tmb_chariot_rider_bow_360	ap_crewposition_1	wh2_dlc09_tmb_chariot_bow	false
arb_golden_magus_skiff_rider3	hu1_arabyan_sword_and_longbow	autonomous_rider	OtF_khemri_archers	wh2_dlc09_tmb_chariot_rider_bow_360	ap_crewposition_2	wh2_dlc09_tmb_chariot_bow	false
arb_golden_magus_skiff_rider4	hu1_arabyan_sword_and_longbow	autonomous_rider	OtF_khemri_archers	wh2_dlc09_tmb_chariot_rider_bow_360	ap_crewposition_3	wh2_dlc09_tmb_chariot_bow	false
arb_golden_magus_skiff_rider5	hu1_arabyan_sword_and_longbow	autonomous_rider	OtF_khemri_archers	wh2_dlc09_tmb_chariot_rider_bow_360	ap_crewposition_4	wh2_dlc09_tmb_chariot_bow	false
arb_golden_magus_skiff_rider6	hu1_arabyan_sword_and_longbow	autonomous_rider	OtF_khemri_archers	wh2_dlc09_tmb_chariot_rider_bow_360	ap_crewposition_5	wh2_dlc09_tmb_chariot_bow	false
arb_golden_magus_skiff_djinn7	gh1_cairn_wraith	autonomous_rider	ovn_arb_tempest_djinn_gm_skiff	ovn_arb_mon_tempest_djinn	ap_leftposition_0	arb_golden_magus_skiff_djinn_oarmen	false
arb_golden_magus_skiff_djinn8	gh1_cairn_wraith	autonomous_rider	ovn_arb_tempest_djinn_gm_skiff	ovn_arb_mon_tempest_djinn	ap_leftposition_1	arb_golden_magus_skiff_djinn_oarmen	false
arb_golden_magus_skiff_djinn9	gh1_cairn_wraith	autonomous_rider	ovn_arb_tempest_djinn_gm_skiff	ovn_arb_mon_tempest_djinn	ap_leftposition_2	arb_golden_magus_skiff_djinn_oarmen	false
arb_golden_magus_skiff_djinn10	gh1_cairn_wraith	autonomous_rider	ovn_arb_tempest_djinn_gm_skiff	ovn_arb_mon_tempest_djinn	ap_rightposition_0	arb_golden_magus_skiff_djinn_oarmen	false
arb_golden_magus_skiff_djinn11	gh1_cairn_wraith	autonomous_rider	ovn_arb_tempest_djinn_gm_skiff	ovn_arb_mon_tempest_djinn	ap_rightposition_1	arb_golden_magus_skiff_djinn_oarmen	false
arb_golden_magus_skiff_djinn12	gh1_cairn_wraith	autonomous_rider	ovn_arb_tempest_djinn_gm_skiff	ovn_arb_mon_tempest_djinn	ap_rightposition_2	arb_golden_magus_skiff_djinn_oarmen	false
ovn_halfling_moot_general_poultry_mount	hu3_halfling_weapon_and_shield_lord	autonomous_rider	ovn_hlf_moot_general_1_poultry	wh_main_infantry_rider_blood	ap_rider_0	hlf_moot_general_poultry_mount_rider	true
ovn_halfling_master_chef_wagon_mount	hu3_dwarf_dual_axe_slayer	autonomous_rider	ovn_hlf_master_chef_0_wagon	wh_main_infantry_rider	ap_crewposition_0	hlf_moot_master_chef_wagon_rider	true
wh_main_dwf_dwarftank_turret	wm_steam_tank_turret01	autonomous_rider	wh_dwf_dwarf_tank_turret	wh_main_vehicle_steam_turret	ap_turretposition_01	wh_main_dwf_dwarf_tank_turret	false
ovn_mammoth_howdah_rider1	hu1_bretonnian_sword_and_longbow	autonomous_rider	OtF_khemri_archers	wh_main_infantry_rider	ap_howdahcrew_0	ovn_mon_mammoth_rider	false
ovn_mammoth_howdah_rider2	hu1_bretonnian_sword_and_longbow	autonomous_rider	OtF_khemri_archers	wh_main_infantry_rider	ap_howdahcrew_1	ovn_mon_mammoth_rider	false
ovn_mammoth_howdah_rider3	hu1_bretonnian_sword_and_longbow	autonomous_rider	OtF_khemri_archers	wh_main_infantry_rider	ap_howdahcrew_2	ovn_mon_mammoth_rider	false
ovn_mammoth_howdah_rider4	hu1_bretonnian_sword_and_longbow	autonomous_rider	OtF_khemri_archers	wh_main_infantry_rider	ap_howdahcrew_3	ovn_mon_mammoth_rider	false
ovn_mammoth_howdah_rider5	hu1_bretonnian_sword_and_longbow	autonomous_rider	OtF_khemri_archers	wh_main_infantry_rider	ap_howdahcrew_4	ovn_mon_mammoth_rider	false
ovn_mammoth_howdah_rider6	hu1_bretonnian_sword_and_longbow	autonomous_rider	OtF_khemri_archers	wh_main_infantry_rider	ap_howdahcrew_5	ovn_mon_mammoth_rider	false
ovn_arb_flying_carpet_rider_0	hu1_araby_fc1_carpet_wb_bow	autonomous_rider	ovn_arb_flying_carpet_rider	wh2_dlc09_tmb_warsphinx_rider_360		ovn_arb_flying_carpet_rider	true
ovn_arb_flying_carpet_rider_ror	hu1_araby_fc1_carpet_wb_bow	autonomous_rider	ovn_arb_flying_carpet_rider_ror	wh2_dlc09_tmb_warsphinx_rider_360		ovn_arb_flying_carpet_ror_rider	true
ovn_vizier_life_rider	hu1_araby_fc1_carpet_wb_staff_and_sword	autonomous_rider	arb_vizier_life_0	wh_main_infantry_standard_wizard_rider_blood_dismembers		ovn_arb_cha_magician_rider	true
ovn_vizier_desert_rider	hu1_araby_fc1_carpet_wb_staff_and_sword	autonomous_rider	arb_vizier_desert_0	wh_main_infantry_standard_wizard_rider_blood_dismembers		ovn_arb_cha_magician_rider	true
ovn_vizier_fire_rider	hu1_araby_fc1_carpet_wb_staff_and_sword_fire	autonomous_rider	arb_vizier_fire_1	wh_main_infantry_standard_wizard_rider_blood_dismembers		ovn_arb_cha_magician_rider	true
ovn_vizier_heavens_rider	hu1_araby_fc1_carpet_wb_staff_and_sword	autonomous_rider	arb_vizier_heavens_1	wh_main_infantry_standard_wizard_rider_blood_dismembers		ovn_arb_cha_magician_rider	true
ovn_arb_cha_magician_life	hu1_empire_staff_and_sword	autonomous_rider	ovn_arb_ch_magician_life	ovn_infantry_magician_blood_dismembers		ovn_arb_cha_magician_life	true
ovn_arb_cha_magician_desert	hu1_pr8_amethyst_staff_and_sword	autonomous_rider	ovn_arb_ch_magician_desert	ovn_infantry_magician_blood_dismembers		ovn_arb_cha_magician_desert	true
ovn_arb_cha_magician_fire	hu1_fire_staff_and_sword	autonomous_rider	ovn_arb_ch_magician_fire	ovn_infantry_magician_blood_dismembers		ovn_arb_cha_magician_fire	true
ovn_arb_cha_magician_heavens	hu1_pr8_amethyst_staff_and_sword	autonomous_rider	ovn_arb_ch_magician_heavens	ovn_infantry_magician_blood_dismembers		ovn_arb_cha_magician_heavens	true
cr_hef_lothern_skycutter_bolt_thrower	wm_bolt_thrower01b_turret	autonomous_rider	cr_hef_lothern_skycutter_bolt_thrower	cr_hef_skycutter_bolt_thrower	ap_crewposition_0	cr_hef_lothern_skycutter_bolt_thrower	false
cr_hef_lothern_skycutter_rider1	hu1d_elf_wm_tiranoc_chariot01_sword_and_bow	autonomous_rider	cr_hef_lothern_skycutter_rider	wh_main_cavalry_rider_standard_blood	ap_crewposition_1	cr_hef_lothern_skycutter_rider_bow	false
cr_hef_lothern_skycutter_rider2	hu1d_elf_wm_tiranoc_chariot01_sword_and_bow	autonomous_rider	cr_hef_lothern_skycutter_rider	wh_main_cavalry_rider_standard_blood	ap_crewposition_2	cr_hef_lothern_skycutter_rider_bow	false
cr_hef_lothern_skycutter_rider3	hu1d_elf_wm_tiranoc_chariot01_sword_and_bow2	autonomous_rider	cr_hef_lothern_skycutter_rider	wh_main_cavalry_rider_standard_blood	ap_crewposition_3	cr_hef_lothern_skycutter_rider_bow	false
cr_hef_lothern_skycutter_rider6	hu1d_elf_sword	autonomous_rider	cr_hef_lothern_skycutter_rider_empty	wh_main_cavalry_rider_standard_blood	ap_crewposition_6		false
cr_chs_cav_chaos_knights_0_rider_nurgle	hu1c_chaos_hr1_chaos_steed_wb_sword_and_shield	autonomous_rider	nurgle_chs_knights	wh_main_infantry_standard_large_blood			false
cr_chs_cav_chaos_knights_1_rider_nurgle	hu1c_chaos_hr1_chaos_steed_wb_lance_sword_and_shield	autonomous_rider	nurgle_chs_chaos_knight_lance	wh_main_infantry_standard_large_blood			false
ovn_grudge_flagellants_eusebio	hu1_empire_hammer_and_book	officer	ovn_grudge_flagellants_eusebio	wh_dlc04_infantry_flagellants_blood_dismembers			false
