frontend_faction_effect_junctions_tables	1
effect	group	value	scope
wh_main_effect_military_force_winds_of_magic_depletion_mod_other	ovn_vor_caliphate_of_araby	10	faction_to_force_own
wh_main_effect_military_force_winds_of_magic_starting_mod	ovn_vor_caliphate_of_araby_lord	5	character_to_force_own_unseen
wh_main_effect_ability_enable_arcane_conduit	ovn_vor_caliphate_of_araby_lord	1	character_to_character_own
wh_main_effect_character_stat_mod_miscast_chance	ovn_vor_caliphate_of_araby_lord	10	character_to_character_own
wh_main_effect_force_unit_stat_morale_own_territory	ovn_amz_amazons	8	faction_to_force_own
wh2_dlc10_effect_global_recruitment_duration_all	ovn_amz_amazons	1	faction_to_force_own_unseen
wh_main_effect_force_unit_stat_morale_own_territory	ovn_vor_amz_amazons	8	faction_to_force_own
wh2_dlc10_effect_global_recruitment_duration_all	ovn_vor_amz_amazons	1	faction_to_force_own_unseen
wh2_dlc09_faction_diplomacy_bonus_tombkings	ovn_vor_aswad_scythans	10	faction_to_faction_own_unseen
ovn_scythan_numas_diplo	ovn_vor_aswad_scythans	20	faction_to_faction_own_unseen
ovn_scythans_recruit_tmbking_dummy	ovn_vor_aswad_scythans	1	faction_to_faction_own_unseen
ovn_desert_att_immune_dummy	ovn_vor_aswad_scythans	1	faction_to_faction_own_unseen
ovn_restaurant_faction_effect_dummy	ovn_emp_the_moot	1	faction_to_faction_own_unseen
