phase	stat	value	how
war_fury	stat_charge_bonus	1.08	mult
woad_paint	stat_resistance_physical	15.0	add
druid_bound_awakening_of_the_wood	scalar_speed	0.52	mult
devestating_charge	stat_charge_bonus	1.5	mult
devestating_charge	scalar_charge_speed	1.25	mult
wh2_main_lore_passive_truthsayer	stat_resistance_missile	20.0	add
spell_truth_valor_upgraded	stat_melee_damage_base	1.25	mult
spell_truth_valor_upgraded	stat_melee_attack	26.0	add
spell_truth_valor	stat_melee_attack	26.0	add
spell_truth_valor	stat_melee_damage_base	1.25	mult
spell_truth_protection	stat_resistance_magic	45.0	add
spell_truth_protection	stat_resistance_flame	45.0	add
spell_truth_protection_upgraded	stat_resistance_magic	45.0	add
spell_truth_protection_upgraded	stat_resistance_flame	45.0	add
spell_truth_voice_command	scalar_speed	0.45	mult
spell_truth_voice_command	scalar_missile_range	0.0	mult
spell_truth_voice_command_upgraded	scalar_speed	0.45	mult
spell_truth_voice_command_upgraded	scalar_missile_range	0.0	mult
magic_siphon	stat_morale	15.0	add
embodiment_albion	scalar_speed	0.7	mult
albion_warcry	stat_melee_defence	14.0	add
albion_warcry	stat_morale	16.0	add
albion_warcry	stat_melee_attack	14.0	add
omen_of_doom	stat_morale	-6.0	add
omen_of_war	stat_melee_attack	6.0	add
murder_crows	stat_melee_attack	-5.0	add
omen_of_war	stat_morale	6.0	add
omen_of_doom	stat_melee_defence	-6.0	add
spell_truth_boon_courage	stat_armour	30.0	add
spell_truth_boon_courage	stat_melee_defence	24.0	add
spell_truth_boon_courage_upgraded	stat_armour	60.0	add
spell_truth_boon_courage_upgraded	stat_melee_defence	24.0	add
howling_shields	stat_morale	-8.0	add
darkened_skies	scalar_speed	0.8	mult
darkened_skies	scalar_missile_range	0.8	mult
murder_crows_upgraded	stat_melee_attack	-10.0	add
morrigan_hunters_dmg	scalar_missile_damage_ap	2.0	mult
lesser_shield_of_the_old_ones	stat_morale	6.0	add
lesser_shield_of_the_old_ones	stat_resistance_all	15.0	add
elo_champion_of_albion	stat_morale	4.0	add
elo_albion_bologs	stat_melee_attack	20.0	add
elo_albion_bologs	stat_melee_defence	20.0	add
elo_albion_bologs	scalar_speed	1.25	mult
elo_albion_bologs	stat_melee_damage_base	1.25	mult
elo_albion_bologs	stat_melee_damage_ap	1.25	mult
elo_albion_bologs	scalar_splash_attack_power	1.25	mult
elo_albion_bologs	stat_charge_bonus	20.0	add
elo_albion_something_prove	stat_melee_damage_ap	8.0	add
elo_albion_something_prove	stat_morale	4.0	add
elo_albion_holy_warriors_unbreakable	stat_melee_attack	8.0	add
elo_albion_protectors_world	stat_melee_damage_base	1.25	mult
elo_albion_protectors_world	scalar_missile_damage_ap	1.2	mult
elo_albion_protectors_world	stat_morale	8.0	add
elo_albion_protectors_world	stat_resistance_physical	15.0	add
ammo_supply	stat_reloading	1.1	mult
equipment_maintanance	stat_armour	15.0	add
equipment_maintanance	stat_melee_damage_base	1.1	mult
smokeleaf_smokescreen	stat_resistance_physical	1.15	mult
smokeleaf_smokescreen	stat_resistance_missile	1.25	mult
elo_fimir_witness_me	stat_charge_bonus	1.15	mult
elo_fimir_witness_me	stat_melee_damage_ap	1.2	mult
elo_fimir_witness_me	stat_melee_damage_base	1.2	mult
elo_fimir_witness_me	stat_melee_attack	10.0	add
horrible_stench	stat_melee_attack	-6.0	add
horrible_stench	stat_melee_defence	-6.0	add
rock_solid	stat_resistance_magic	25.0	add
rock_solid	stat_resistance_physical	30.0	add
rock_solid	stat_morale	40.0	add
death_stench	stat_melee_attack	-8.0	add
death_stench	stat_morale	-8.0	add
death_stench	stat_melee_defence	-8.0	add
run_and_shakeoff	scalar_speed	1.24	mult
run_and_shakeoff	stat_charge_bonus	1.18	mult
run_and_shakeoff	stat_resistance_missile	50.0	add
order_protect	stat_resistance_all	15.0	add
order_squish	stat_melee_attack	8.0	add
order_squish	stat_bonus_vs_infantry	25.0	add
order_aim_higher	stat_melee_damage_ap	1.2	mult
order_aim_higher	stat_bonus_vs_large	25.0	add
order_catch	scalar_speed	1.3	mult
order_protect	stat_melee_defence	8.0	add
stunted_regeneration	stat_weakness_flame	-25.0	add
sickness_host	stat_morale	-10.0	add
sickness_host	stat_resistance_physical	-15.0	add
sickness_host	scalar_speed	0.7	mult
sickness_host	stat_resistance_magic	-15.0	add
temper_tantrum	stat_melee_attack	15.0	add
temper_tantrum	stat_melee_damage_ap	2.0	mult
temper_tantrum	stat_melee_damage_base	2.0	mult
temper_tantrum	stat_resistance_physical	15.0	add
warpstone_solid	stat_resistance_all	40.0	add
elo_so_hungry	stat_morale	40.0	add
troll_mocking_laughter	stat_morale	-8.0	add
ovn_mystic_mist	stat_resistance_missile	6.0	add
lzd_amazon_poison	stat_melee_attack	0.8	mult
lzd_amazon_poison	stat_morale	-5.0	add
jag_amazon_poison	stat_resistance_physical	0.8	mult
jag_amazon_poison	stat_melee_defence	0.8	mult
spell_ice_shield_of_cold_upgraded	stat_armour	20.0	add
spell_ice_shield_of_cold_upgraded	stat_resistance_all	20.0	add
spell_ice_shield_of_cold_upgraded	stat_melee_defence	15.0	add
spell_ice_shield_of_cold	stat_resistance_all	20.0	add
spell_ice_shield_of_cold	stat_melee_defence	15.0	add
spell_ice_frost_blade_upgraded	stat_melee_damage_ap	1.3	mult
spell_ice_frost_blade_upgraded	stat_melee_attack	15.0	add
spell_ice_frost_blade	stat_melee_damage_ap	1.3	mult
spell_ice_frost_blade	stat_melee_attack	15.0	add
spell_ice_crisping_cold_upgraded	scalar_charge_speed	1.2	mult
spell_ice_crisping_cold_upgraded	scalar_speed	1.2	mult
spell_ice_crisping_cold_upgraded	stat_reloading	20.0	add
spell_ice_crisping_cold	scalar_charge_speed	1.2	mult
spell_ice_crisping_cold	scalar_speed	1.2	mult
spell_ice_crisping_cold	stat_reloading	20.0	add
spell_ice_shattering_frost_upgraded1	scalar_charge_speed	0.7	mult
spell_ice_shattering_frost_upgraded1	scalar_speed	0.7	mult
spell_ice_shattering_frost_upgraded1	stat_armour	0.7	mult
spell_ice_shattering_frost_upgraded1	stat_resistance_physical	-30.0	add
spell_ice_shattering_frost1	scalar_charge_speed	0.7	mult
spell_ice_shattering_frost1	scalar_speed	0.7	mult
spell_ice_shattering_frost1	stat_armour	0.7	mult
spell_ice_shattering_frost1	stat_resistance_physical	-30.0	add
lore_passive_ice_cold	scalar_speed	0.84	mult
lore_passive_ice_cold	scalar_charge_speed	0.84	mult
lore_passive_ice_cold	stat_melee_defence	-2.0	add
lore_passive_ice_cold	stat_melee_attack	-8.0	add
spell_ice_blinding_blizzard_upgraded1	stat_accuracy	0.5	mult
spell_ice_blinding_blizzard_upgraded1	stat_reloading	-20.0	add
spell_ice_blinding_blizzard_upgraded1	stat_visibility_sight	0.5	mult
spell_ice_blinding_blizzard1	stat_accuracy	0.5	mult
spell_ice_blinding_blizzard1	stat_reloading	-20.0	add
spell_ice_blinding_blizzard1	stat_visibility_sight	0.5	mult
spell_ice_ice_blizzard	scalar_speed	0.9	mult
spell_ice_ice_blizzard_upgraded	scalar_speed	0.7	mult
lore_passive_ice_winter	stat_resistance_magic	-25.0	add
grudge_ballistics_calibration1	stat_accuracy	1.1	mult
grudge_ballistics_calibration2	stat_accuracy	1.2	mult
grudge_ballistics_calibration3	stat_accuracy	1.3	mult
grudge_explosion1	scalar_missile_explosion_damage_ap	1.1	mult
grudge_apexplosion1	scalar_missile_explosion_damage_base	1.1	mult
grudge_explosion2	scalar_missile_explosion_damage_ap	1.2	mult
grudge_apexplosion2	scalar_missile_explosion_damage_base	1.2	mult
grudge_explosion3	scalar_missile_explosion_damage_ap	1.3	mult
grudge_apexplosion3	scalar_missile_explosion_damage_base	1.3	mult
grudge_item_abilities_horn_of_urgok	stat_melee_attack	-16.0	add
grudge_item_abilities_horn_of_urgok	stat_melee_damage_base	0.8	mult
grudge_item_abilities_horn_of_urgok	stat_melee_defence	-22.0	add
grudge_item_abilities_horn_of_urgok	stat_morale	-18.0	add
grudge_item_abilities_banner_of_arcane_warding	scalar_miscast_chance	1.7	mult
grudge_item_abilities_spelleater_shield	scalar_miscast_chance	1.9	mult
grudge_ability_swiftness_of_itzl	scalar_speed	1.36	mult
grudge_ability_skv_verminous_valour	scalar_speed	1.24	mult
grudge_ability_skv_verminous_valour	stat_morale	8.0	add
ovn_arb_baz_wep_08_matyr_shard_ability	stat_melee_damage_base	1.9	mult
ovn_arb_baz_wep_08_matyr_shard_ability	stat_melee_attack	44.0	add
ovn_arb_baz_wep_10_vengeful_sword_heal	stat_melee_damage_base	1.8	mult
ovn_arb_baz_arm_09_faith_shield_ability	stat_melee_attack	-12.0	add
ovn_arb_baz_arm_09_faith_shield_ability	stat_melee_damage_base	0.5	mult
ovn_arb_baz_escape	stat_morale	10.0	add
ovn_chs_dark_god_blessing	stat_morale	8.0	add
abilities_rage_of_khorne	stat_melee_attack	30.0	add
abilities_rage_of_khorne	stat_melee_damage_base	1.25	mult
abilities_rage_of_khorne	stat_morale	10.0	add
fim_skattach_poison_mist	stat_morale	-10.0	add
ribspreader_bile_troll_passive	stat_morale	-7.0	add
ribspreader_bile_troll_passive	stat_resistance_physical	-10.0	add
ribspreader_bile_troll_passive	scalar_speed	0.85	mult
ribspreader_bile_troll_passive	stat_resistance_magic	-10.0	add
arb_fatandira_desert_feint	scalar_speed	1.36	mult
arb_fatandira_blades_demise_skill	stat_melee_damage_base	1.25	mult
arb_fatandira_blades_demise_skill	scalar_missile_damage_base	1.25	mult
arb_golden_magus_burning_scimitar_ability	scalar_missile_damage_base	1.25	mult
arb_golden_magus_burning_scimitar_ability	stat_melee_damage_base	1.3	mult
arb_golden_magus_skiff_mistral	stat_resistance_all	12.0	add
arb_golden_magus_wrath_djinn_passive	scalar_miscast_chance	1.5	mult
ovn_hlf_glibfoot_adv_continues	stat_morale	8.0	add
ovn_hlf_glibfoot_adv_continues	scalar_speed	1.12	mult
hlf_glibfoot_willowblade_ability	stat_armour	-30.0	add
hlf_glibfoot_willowblade_ability	stat_melee_defence	-40.0	add
hlf_glibfoot_thief_tactics	scalar_speed	1.24	mult
hlf_master_chef_regeneration_passive_aura	stat_resistance_all	5.0	add
hlf_master_chef_hot_spices	stat_morale	-5.0	add
hlf_master_chef_hot_spices	stat_resistance_all	0.9	mult
ovn_rot_nurgle_flies	stat_melee_attack	-5.0	add
ovn_rot_mark_nurgle	stat_weakness_flame	-15.0	add
contact_anchored	stat_melee_defence	-6.0	add
contact_anchored	scalar_speed	0.9	mult
elo_troll_me_boss_now	stat_morale	8.0	add
elo_violent_command	stat_melee_attack	5.0	add
elo_violent_command	stat_melee_damage_ap	1.15	mult
elo_violent_command	stat_melee_damage_base	1.15	mult
ovn_hlf_ammo	stat_reloading	1.1	mult
elo_those_are_tasty	scalar_speed	0.7	mult
elo_those_are_tasty	stat_melee_damage_ap	0.7	mult
elo_those_are_tasty	stat_melee_damage_base	0.7	mult
elo_contact_very_tasty	stat_morale	6.0	add
elo_tzaan_curse_tzeentch	stat_miscast_additional	50.0	add
elo_tzaan_curse_tzeentch	stat_resistance_magic	-100.0	add
elo_tzaan_twisted_blessings	stat_melee_attack	16.0	add
elo_tzaan_twisted_blessings	stat_melee_defence	-8.0	add
elo_tzaan_boon_tzeentch	stat_resistance_all	20.0	add
contact_tzaan_mutations	stat_melee_attack	-6.0	add
contact_tzaan_mutations	stat_morale	-8.0	add
contact_tzaan_mutations	stat_melee_defence	-6.0	add
ovn_hlf_bee_throwers_contact	stat_morale	-6.0	add
ovn_hlf_bee_throwers_contact	stat_melee_attack	-5.0	add
ovn_hlf_bee_throwers_contact	stat_melee_defence	-5.0	add
