member	region
grudgebringer_occupation_decision_region_handover_wh2_main_the_black_flood_cragroth_deep	wh2_main_the_black_flood_cragroth_deep
grudgebringer_occupation_decision_region_handover_wh2_main_the_black_flood_hag_graef	wh2_main_the_black_flood_hag_graef
grudgebringer_occupation_decision_region_handover_wh2_main_the_black_flood_shroktak_mount	wh2_main_the_black_flood_shroktak_mount
grudgebringer_occupation_decision_region_handover_wh2_main_the_black_flood_temple_of_khaine	wh2_main_the_black_flood_temple_of_khaine
grudgebringer_occupation_decision_region_handover_wh2_main_the_broken_land_blacklight_tower	wh2_main_the_broken_land_blacklight_tower
grudgebringer_occupation_decision_region_handover_wh2_main_the_broken_land_karond_kar	wh2_main_the_broken_land_karond_kar
grudgebringer_occupation_decision_region_handover_wh2_main_the_broken_land_slavers_point	wh2_main_the_broken_land_slavers_point
grudgebringer_occupation_decision_region_handover_wh2_main_the_chill_road_ashrak	wh2_main_the_chill_road_ashrak
grudgebringer_occupation_decision_region_handover_wh2_main_the_chill_road_ghrond	wh2_main_the_chill_road_ghrond
grudgebringer_occupation_decision_region_handover_wh2_main_the_chill_road_the_great_arena	wh2_main_the_chill_road_the_great_arena
grudgebringer_occupation_decision_region_handover_wh2_main_the_clawed_coast_hoteks_column	wh2_main_the_clawed_coast_hoteks_column
grudgebringer_occupation_decision_region_handover_wh2_main_the_clawed_coast_the_monoliths	wh2_main_the_clawed_coast_the_monoliths
grudgebringer_occupation_decision_region_handover_wh2_main_the_clawed_coast_the_twisted_glade	wh2_main_the_clawed_coast_the_twisted_glade
grudgebringer_occupation_decision_region_handover_wh2_main_the_creeping_jungle_temple_of_kara	wh2_main_the_creeping_jungle_temple_of_kara
grudgebringer_occupation_decision_region_handover_wh2_main_the_creeping_jungle_tlanxla	wh2_main_the_creeping_jungle_tlanxla
grudgebringer_occupation_decision_region_handover_wh2_main_the_creeping_jungle_tlaxtlan	wh2_main_the_creeping_jungle_tlaxtlan
grudgebringer_occupation_decision_region_handover_wh2_main_the_galleons_graveyard	wh2_main_the_galleons_graveyard
grudgebringer_occupation_decision_region_handover_wh2_main_the_road_of_skulls_har_ganeth	wh2_main_the_road_of_skulls_har_ganeth
grudgebringer_occupation_decision_region_handover_wh2_main_the_road_of_skulls_kauark	wh2_main_the_road_of_skulls_kauark
grudgebringer_occupation_decision_region_handover_wh2_main_the_road_of_skulls_spite_reach	wh2_main_the_road_of_skulls_spite_reach
grudgebringer_occupation_decision_region_handover_wh2_main_the_road_of_skulls_the_black_pillar	wh2_main_the_road_of_skulls_the_black_pillar
grudgebringer_occupation_decision_region_handover_wh2_main_tiranoc_tor_anroc	wh2_main_tiranoc_tor_anroc
grudgebringer_occupation_decision_region_handover_wh2_main_tiranoc_whitepeak	wh2_main_tiranoc_whitepeak
grudgebringer_occupation_decision_region_handover_wh2_main_titan_peaks_ancient_city_of_quintex	wh2_main_titan_peaks_ancient_city_of_quintex
grudgebringer_occupation_decision_region_handover_wh2_main_titan_peaks_ironspike	wh2_main_titan_peaks_ironspike
grudgebringer_occupation_decision_region_handover_wh2_main_titan_peaks_ssildra_tor	wh2_main_titan_peaks_ssildra_tor
grudgebringer_occupation_decision_region_handover_wh2_main_titan_peaks_the_moon_shard	wh2_main_titan_peaks_the_moon_shard
grudgebringer_occupation_decision_region_handover_wh2_main_vampire_coast_pox_marsh	wh2_main_vampire_coast_pox_marsh
grudgebringer_occupation_decision_region_handover_wh2_main_vampire_coast_the_awakening	wh2_main_vampire_coast_the_awakening
grudgebringer_occupation_decision_region_handover_wh2_main_vampire_coast_the_blood_swamps	wh2_main_vampire_coast_the_blood_swamps
grudgebringer_occupation_decision_region_handover_wh2_main_volcanic_islands_fuming_serpent	wh2_main_volcanic_islands_fuming_serpent
grudgebringer_occupation_decision_region_handover_wh2_main_volcanic_islands_the_star_tower	wh2_main_volcanic_islands_the_star_tower
grudgebringer_occupation_decision_region_handover_wh2_main_vor_aghol_wastelands_fortress_of_the_damned	wh2_main_vor_aghol_wastelands_fortress_of_the_damned
grudgebringer_occupation_decision_region_handover_wh2_main_vor_aghol_wastelands_palace_of_princes	wh2_main_vor_aghol_wastelands_palace_of_princes
grudgebringer_occupation_decision_region_handover_wh2_main_vor_aghol_wastelands_the_palace_of_ruin	wh2_main_vor_aghol_wastelands_the_palace_of_ruin
grudgebringer_occupation_decision_region_handover_wh2_main_vor_albion_albion	wh2_main_vor_albion_albion
grudgebringer_occupation_decision_region_handover_wh2_main_vor_albion_pack_ice_bay	wh2_main_vor_albion_pack_ice_bay
grudgebringer_occupation_decision_region_handover_wh2_main_vor_albion_troll_fjord	wh2_main_vor_albion_troll_fjord
grudgebringer_occupation_decision_region_handover_wh2_main_vor_ash_river_numas	wh2_main_vor_ash_river_numas
grudgebringer_occupation_decision_region_handover_wh2_main_vor_ash_river_quatar	wh2_main_vor_ash_river_quatar
grudgebringer_occupation_decision_region_handover_wh2_main_vor_ash_river_springs_of_eternal_life	wh2_main_vor_ash_river_springs_of_eternal_life
grudgebringer_occupation_decision_region_handover_wh2_main_vor_ash_river_the_salt_plain	wh2_main_vor_ash_river_the_salt_plain
grudgebringer_occupation_decision_region_handover_wh2_main_vor_ashen_coast_scarpels_lair	wh2_main_vor_ashen_coast_scarpels_lair
grudgebringer_occupation_decision_region_handover_wh2_main_vor_ashen_coast_sulpharets	wh2_main_vor_ashen_coast_sulpharets
grudgebringer_occupation_decision_region_handover_wh2_main_vor_ashen_coast_titan_peak	wh2_main_vor_ashen_coast_titan_peak
grudgebringer_occupation_decision_region_handover_wh2_main_vor_ashen_coast_tyrant_peak	wh2_main_vor_ashen_coast_tyrant_peak
grudgebringer_occupation_decision_region_handover_wh2_main_vor_avelorn_evershale	wh2_main_vor_avelorn_evershale
grudgebringer_occupation_decision_region_handover_wh2_main_vor_avelorn_gaean_vale	wh2_main_vor_avelorn_gaean_vale
grudgebringer_occupation_decision_region_handover_wh2_main_vor_avelorn_tor_saroir	wh2_main_vor_avelorn_tor_saroir
grudgebringer_occupation_decision_region_handover_wh2_main_vor_caledor_caledors_repose	wh2_main_vor_caledor_caledors_repose
grudgebringer_occupation_decision_region_handover_wh2_main_vor_caledor_tor_sethai	wh2_main_vor_caledor_tor_sethai
grudgebringer_occupation_decision_region_handover_wh2_main_vor_caledor_vauls_anvil	wh2_main_vor_caledor_vauls_anvil
grudgebringer_occupation_decision_region_handover_wh2_main_vor_central_spine_of_sotek_caverns_of_the_great_bat	wh2_main_vor_central_spine_of_sotek_caverns_of_the_great_bat
grudgebringer_occupation_decision_region_handover_wh2_main_vor_central_spine_of_sotek_chiquibol	wh2_main_vor_central_spine_of_sotek_chiquibol
grudgebringer_occupation_decision_region_handover_wh2_main_vor_chrace_elisia	wh2_main_vor_chrace_elisia
grudgebringer_occupation_decision_region_handover_wh2_main_vor_chrace_tor_achare	wh2_main_vor_chrace_tor_achare
grudgebringer_occupation_decision_region_handover_wh2_main_vor_chrace_tor_gard	wh2_main_vor_chrace_tor_gard
grudgebringer_occupation_decision_region_handover_wh2_main_vor_coast_of_araby_al_haikk	wh2_main_vor_coast_of_araby_al_haikk
grudgebringer_occupation_decision_region_handover_wh2_main_vor_coast_of_araby_copher	wh2_main_vor_coast_of_araby_copher
grudgebringer_occupation_decision_region_handover_wh2_main_vor_coast_of_araby_fyrus	wh2_main_vor_coast_of_araby_fyrus
grudgebringer_occupation_decision_region_handover_wh2_main_vor_coast_of_araby_martek	wh2_main_vor_coast_of_araby_martek
grudgebringer_occupation_decision_region_handover_wh2_main_vor_coast_of_squalls_macu_peaks	wh2_main_vor_coast_of_squalls_macu_peaks
grudgebringer_occupation_decision_region_handover_wh2_main_vor_coast_of_squalls_monument_of_the_sun	wh2_main_vor_coast_of_squalls_monument_of_the_sun
grudgebringer_occupation_decision_region_handover_wh2_main_vor_coast_of_squalls_shrine_of_sotek	wh2_main_vor_coast_of_squalls_shrine_of_sotek
grudgebringer_occupation_decision_region_handover_wh2_main_vor_coasts_of_the_lustrian_gulf_the_night_forest	wh2_main_vor_coasts_of_the_lustrian_gulf_the_night_forest
grudgebringer_occupation_decision_region_handover_wh2_main_vor_cobra_pass_eye_of_the_panther	wh2_main_vor_cobra_pass_eye_of_the_panther
grudgebringer_occupation_decision_region_handover_wh2_main_vor_cobra_pass_vulture_mountain	wh2_main_vor_cobra_pass_vulture_mountain
grudgebringer_occupation_decision_region_handover_wh2_main_vor_copper_desert_the_dust_gate	wh2_main_vor_copper_desert_the_dust_gate
grudgebringer_occupation_decision_region_handover_wh2_main_vor_copper_desert_the_forgotten_isles	wh2_main_vor_copper_desert_the_forgotten_isles
grudgebringer_occupation_decision_region_handover_wh2_main_vor_copper_desert_the_golden_colossus	wh2_main_vor_copper_desert_the_golden_colossus
grudgebringer_occupation_decision_region_handover_wh2_main_vor_cothique_mistnar	wh2_main_vor_cothique_mistnar
grudgebringer_occupation_decision_region_handover_wh2_main_vor_cothique_tor_koruali	wh2_main_vor_cothique_tor_koruali
grudgebringer_occupation_decision_region_handover_wh2_main_vor_culchan_plains_chupayotl	wh2_main_vor_culchan_plains_chupayotl
