order	special_ability	phase
3	ovn_unit_passive_unbinding_arb_spearmen_mirage	wh_main_unit_passive_unbinding_critical
1	ovn_unit_passive_unbinding_arb_spearmen_mirage_upgraded	ovn_unit_passive_unbinding_arb_spearmen_mirage_upgraded
2	ovn_unit_passive_unbinding_arb_spearmen_mirage_upgraded	wh_main_unit_passive_unbinding_weak
3	ovn_unit_passive_unbinding_arb_spearmen_mirage_upgraded	wh_main_unit_passive_unbinding_critical
1	blood_howl	blood_howl
1	arb_jaffar_aura_will	arb_jaffar_aura_will
1	Black_Book_Of_Ibn_Naggazar	Black_Book_Of_Ibn_Naggazar
1	spawn_ushabti_dread_king	spawn_ushabti_dread_king
1	Dread_Aura	Dread_Aura
1	Summon_Black_Grail_Kinghts	Summon_Black_Grail_Kinghts_1
2	Summon_Black_Grail_Kinghts	Summon_Black_Grail_Kinghts_2
3	Summon_Black_Grail_Kinghts	Summon_Black_Grail_Kinghts_3
0	elo_necromantic_anchor	elo_necromantic_anchor
0	roy_unit_active_arb_strike_from_the_shadows	roy_phase_active_arb_strike_from_the_shadows
0	roy_unit_active_arb_doppelgang	roy_phase_active_arb_doppelgang
1	whispers_in_the_darkness	whispers_in_the_darkness
1	Violent_rise_to_power_1	Violent_rise_to_power_1
2	Violent_rise_to_power_2	Violent_rise_to_power_2
3	Violent_rise_to_power_3	Violent_rise_to_power_3
1	master_of_the_shadow_1	master_of_the_shadow_1
1	master_of_the_shadow_2	master_of_the_shadow_2
1	uncontrollable_rage	uncontrollable_rage
1	war_fury	war_fury
1	war_fury_2	war_fury_2
1	woad_paint	woad_paint
1	devestating_charge	devestating_charge
1	spell_truth_gift_life	spell_truth_gift_life
1	spell_truth_gift_life_upgraded	spell_truth_gift_life_upgraded
1	wh2_main_lore_passive_truthsayer	wh2_main_lore_passive_truthsayer
1	spell_truth_valor	spell_truth_valor
1	spell_truth_valor_upgraded	spell_truth_valor_upgraded
1	spell_truth_protection	spell_truth_protection
1	spell_truth_protection_upgraded	spell_truth_protection_upgraded
1	spell_truth_voice_command	spell_truth_voice_command
1	spell_truth_voice_command_upgraded	spell_truth_voice_command_upgraded
1	spell_truth_boon_courage	spell_truth_boon_courage
1	spell_truth_boon_courage_upgraded	spell_truth_boon_courage_upgraded
1	magic_siphon	magic_siphon
1	embodiment_albion	embodiment_albion
1	albion_warcry	albion_warcry
1	omen_of_doom	omen_of_doom
1	omen_of_war	omen_of_war
1	murder_crows	murder_crows
1	howling_shields	howling_shields
1	darkened_skies	darkened_skies
1	murder_crows_upgraded	murder_crows_upgraded
1	morrigan_hunters_dmg	morrigan_hunters_dmg
1	lesser_shield_of_the_old_ones	lesser_shield_of_the_old_ones
1	elo_staff_of_dural_durak	elo_staff_of_dural_durak
1	elo_amulet_old_ones	elo_amulet_old_ones
1	elo_albion_freedom	elo_albion_freedom
1	elo_champion_of_albion	elo_champion_of_albion
1	elo_albion_bologs	elo_albion_bologs
1	elo_hengus_blessing	elo_hengus_blessing
1	elo_albion_something_prove	elo_albion_something_prove
1	elo_albion_holy_warriors_unbreakable	elo_albion_holy_warriors_unbreakable
1	elo_albion_protectors_world	elo_albion_protectors_world
1	burn_troll_burn	burn_troll_burn
1	burning_aura_of_ouch	burning_aura_of_ouch
1	elo_liche_land_of_nagash	elo_liche_land_of_nagash
1	elo_hand_terror_past	elo_hand_terror_past
1	elo_hand_judge_executioner	elo_hand_judge_executioner
1	elo_hand_punished_one	elo_hand_punished_one
1	elo_hungering_blade	elo_hungering_blade
1	elo_fimir_witness_me	elo_fimir_witness_me
1	horrible_stench	horrible_stench
1	rock_solid	rock_solid
1	death_stench	death_stench
1	run_and_shakeoff	run_and_shakeoff
1	order_protect	order_protect
1	order_squish	order_squish
1	order_aim_higher	order_aim_higher
1	order_catch	order_catch
1	difficult_to_spot	difficult_to_spot
1	stunted_regeneration	stunted_regeneration
1	sickness_host	sickness_host
1	temper_tantrum	temper_tantrum
1	warpstone_solid	warpstone_solid
1	elo_so_hungry	elo_so_hungry
1	troll_mocking_laughter	troll_mocking_laughter
1	ovn_mystic_mist	ovn_mystic_mist
1	fire_of_the_gods_effect_deamon	fire_of_the_gods_effect_deamon
1	fire_of_the_gods_effect_deamon_ground	fire_of_the_gods_effect_deamon_ground
1	abilities_rage_of_khorne	abilities_rage_of_khorne
1	bacr_unit_passive_unstable_mark_ii_daemon	bacr_unit_passive_unstable_mark_ii_daemon
1	bacr_unit_passive_unstable_daemon	bacr_unit_passive_unstable_daemon
1	ovn_arb_baz_wep_10_vengeful_sword_heal	ovn_arb_baz_wep_10_vengeful_sword_heal
1	ovn_arb_baz_wep_10_vengeful_sword_damage_self	ovn_arb_baz_wep_10_vengeful_sword_damage_self
1	ovn_arb_baz_wep_08_matyr_shard_ability	ovn_arb_baz_wep_08_matyr_shard_ability
1	ovn_arb_baz_heal	ovn_arb_baz_heal
1	ovn_arb_baz_arm_09_faith_shield_ability	ovn_arb_baz_arm_09_faith_shield_ability
1	ovn_arb_baz_arm_08_gorgon_shield_ability	ovn_arb_baz_arm_08_gorgon_shield_ability
1	ovn_arb_baz_escape	ovn_arb_baz_escape
1	ovn_chs_dark_god_blessing	ovn_chs_dark_god_blessing
1	fim_skattach_poison_mist	fim_skattach_poison_mist
1	ribspreader_disable_sickness_host	ribspreader_bile_troll_passive
1	ribspreader_plague_of_rust	wh_main_spell_metal_plague_of_rust
1	arb_fatandira_desert_feint	arb_fatandira_desert_feint
1	arb_fatandira_blades_demise_skill	arb_fatandira_blades_demise_skill
1	arb_golden_magus_burning_scimitar_ability	arb_golden_magus_burning_scimitar_ability
1	arb_golden_magus_skiff_mistral	arb_golden_magus_skiff_mistral
1	arb_golden_magus_skiff_scirocco	arb_golden_magus_skiff_scirocco
1	arb_golden_magus_wrath_djinn_passive	arb_golden_magus_wrath_djinn_passive
0	hlf_glibfoot_adv_continues	ovn_hlf_glibfoot_adv_continues
1	hlf_glibfoot_for_the_moot	hlf_glibfoot_for_the_moot
1	hlf_glibfoot_willowblade_ability	hlf_glibfoot_willowblade_ability
1	hlf_glibfoot_thief_tactics	hlf_glibfoot_thief_tactics
1	hlf_master_chef_regeneration_passive_aura	hlf_master_chef_regeneration_passive_aura
0	hlf_master_chef_hot_spices	hlf_master_chef_hot_spices
1	hlf_master_chef_earth_blood	hlf_master_chef_earth_blood
1	hlf_master_chef_earth_blood_upgraded	hlf_master_chef_earth_blood_upgraded
1	cr_unit_abilities_emulation_of_kalagan	cr_unit_abilities_emulation_of_kalagan
1	ovn_rot_nurgle_flies	ovn_rot_nurgle_flies
1	ovn_rot_mark_nurgle	ovn_rot_mark_nurgle
1	elo_troll_me_boss_now	elo_troll_me_boss_now
1	elo_violent_command	elo_violent_command
1	ovn_hlf_ammo	ovn_hlf_ammo
1	bacr_unit_passive_unstable_mark_ii_daemon	bacr_unit_passive_unstable_mark_ii_daemon
1	bacr_unit_passive_unstable_daemon	bacr_unit_passive_unstable_daemon
1	elo_tzaan_curse_tzeentch	elo_tzaan_curse_tzeentch
1	elo_tzaan_twisted_blessings	elo_tzaan_twisted_blessings
1	elo_tzaan_boon_tzeentch	elo_tzaan_boon_tzeentch
1	elo_plague_flies_helper	elo_plague_flies_helper
1	elo_plague_stench_helper	elo_plague_stench_helper
1	elo_reservoir_hammer	elo_reservoir_hammer
1	elo_trash_armour	elo_trash_armour
1	elo_sea_hag_ocean_breeze	elo_sea_hag_ocean_breeze
1	elo_sea_hag_ocean_breeze_upgraded	elo_sea_hag_ocean_breeze_upgraded
1	ovn_unit_passive_running_with_the_herd	ovn_unit_passive_running_with_the_herd
1	hlf_gatherers_yank	hlf_gatherers_yank
