battle_personality	group
ovn_arb_inf_djinn_vessel_fire	ovn_arb_cha_magician_fire_riders
ovn_arb_inf_djinn_vessel_tempest	ovn_arb_cha_magician_heavens_riders
ovn_arb_cha_magician_life	ovn_arb_cha_magician_life_riders
ovn_arb_cha_magician_desert	ovn_arb_cha_magician_desert_riders
ovn_arb_cha_magician_fire	ovn_arb_cha_magician_fire_riders
ovn_arb_cha_magician_heavens	ovn_arb_cha_magician_heavens_riders
wh_main_mtl_soupcart_rider_0	wh_main_mtl_soupcart_riders
wh_main_arb_elephant_rider_mahout	wh_main_arb_elephant_riders
wh_main_arb_elephant_rider_mahout	wh_main_arb_war_elephant_riders
wh_main_arb_elephant_rider_0	wh_main_arb_war_elephant_riders
wh_main_arb_elephant_rider_1	wh_main_arb_war_elephant_riders
wh_main_arb_elephant_rider_2	wh_main_arb_war_elephant_riders
wh_main_arb_elephant_rider_3	wh_main_arb_war_elephant_riders
wh_main_arb_elephant_rider_4	wh_main_arb_war_elephant_riders
wh_main_arb_elephant_rider_5	wh_main_arb_war_elephant_riders
wh_main_arb_elephant_rider_mahout	wh_main_arb_royal_war_elephant_riders
wh_main_arb_elephant_rider_sheikh	wh_main_arb_royal_war_elephant_riders
wh_main_arb_elephant_rider_0	wh_main_arb_royal_war_elephant_riders
wh_main_arb_elephant_rider_1	wh_main_arb_royal_war_elephant_riders
wh_main_arb_elephant_rider_2	wh_main_arb_royal_war_elephant_riders
wh_main_arb_elephant_rider_3	wh_main_arb_royal_war_elephant_riders
wh_main_arb_elephant_rider_4	wh_main_arb_royal_war_elephant_riders
wh_main_arb_elephant_rider_5	wh_main_arb_royal_war_elephant_riders
wh_main_arb_elephant_rider_6	wh_main_arb_royal_war_elephant_riders
wh_main_arb_elephant_rider_mahout	arb_jaffar_elephant_riders
wh_main_arb_elephant_rider_jaffar	arb_jaffar_elephant_riders
wh_main_arb_elephant_rider_0	arb_jaffar_elephant_riders
wh_main_arb_elephant_rider_1	arb_jaffar_elephant_riders
wh_main_arb_elephant_rider_2	arb_jaffar_elephant_riders
wh_main_arb_elephant_rider_3	arb_jaffar_elephant_riders
wh_main_arb_elephant_rider_4	arb_jaffar_elephant_riders
wh_main_arb_elephant_rider_5	arb_jaffar_elephant_riders
wh_main_arb_elephant_rider_6	arb_jaffar_elephant_riders
ovn_arb_cav_scorpion_rider	ovn_arb_cav_scorpion_riders
albion_chariot_driver	albion_chariot_officer
albion_chariot_fighter	albion_chariot_officer
albion_warleader_charioteer	albion_chariot_officer_lord
albion_chariot_driver	albion_chariot_officer_lord
albion_chariot_driver	albion_chariot_officer_chief
albion_chief_charioteer	albion_chariot_officer_chief
albion_chariot_driver	bl_elo_dural_durak_chariot
bl_elo_dural_durak	bl_elo_dural_durak_chariot
dread_chariot_driver	dread_chariot_officer
dread_chariot_centurion	dread_chariot_officer
elo_liche_general_charioteer	liche_chariot_officer
dread_chariot_driver	liche_chariot_officer
elo_hand_of_nagash_officer	elo_hand_of_nagash_officer
wh2_dlc09_tmb_chariot_rider_0	elo_hand_of_nagash_officer
ribspreader_mammoth_rider	ribspreader_mammoth_riders
arb_golden_magus_skiff_gm	arb_golden_magus_skiff_officer
arb_golden_magus_skiff_rider1	arb_golden_magus_skiff_officer
arb_golden_magus_skiff_rider2	arb_golden_magus_skiff_officer
arb_golden_magus_skiff_rider3	arb_golden_magus_skiff_officer
arb_golden_magus_skiff_rider4	arb_golden_magus_skiff_officer
arb_golden_magus_skiff_rider5	arb_golden_magus_skiff_officer
arb_golden_magus_skiff_rider6	arb_golden_magus_skiff_officer
arb_golden_magus_skiff_djinn7	arb_golden_magus_skiff_officer
arb_golden_magus_skiff_djinn8	arb_golden_magus_skiff_officer
arb_golden_magus_skiff_djinn9	arb_golden_magus_skiff_officer
arb_golden_magus_skiff_djinn10	arb_golden_magus_skiff_officer
arb_golden_magus_skiff_djinn11	arb_golden_magus_skiff_officer
arb_golden_magus_skiff_djinn12	arb_golden_magus_skiff_officer
housie_nec_rider_0	housie_nec_riders
housie_nec_rider_1	housie_nec_riders
housie_nec_rider_2	housie_nec_riders
housie_nec_rider_3	housie_nec_riders
housie_nec_rider_4	housie_nec_riders
ovn_halfling_moot_general_poultry_mount	ovn_halfling_moot_general_poultry_mount
ovn_halfling_master_chef_wagon_mount	ovn_halfling_master_chef_wagon_mount
ovn_mtl_inf_chuckwagon_rider_1	ovn_halfling_master_chef_wagon_mount
wh_main_dwf_dwarftank_turret	wh_main_dwf_dwarftank_turret
ovn_mammoth_howdah_rider1	ovn_mammoth_howdah_riders
ovn_mammoth_howdah_rider2	ovn_mammoth_howdah_riders
ovn_mammoth_howdah_rider3	ovn_mammoth_howdah_riders
ovn_mammoth_howdah_rider4	ovn_mammoth_howdah_riders
ovn_mammoth_howdah_rider5	ovn_mammoth_howdah_riders
ovn_mammoth_howdah_rider6	ovn_mammoth_howdah_riders
ovn_arb_flying_carpet_rider_0	ovn_arb_flying_carpet_riders
ovn_arb_flying_carpet_rider_ror	ovn_arb_flying_carpet_ror_riders
cr_hef_lothern_skycutter_bolt_thrower	cr_hef_lothern_skycutter_riders
cr_hef_lothern_skycutter_rider1	cr_hef_lothern_skycutter_riders
cr_hef_lothern_skycutter_rider2	cr_hef_lothern_skycutter_riders
cr_hef_lothern_skycutter_rider3	cr_hef_lothern_skycutter_riders
cr_hef_lothern_skycutter_rider6	cr_hef_lothern_skycutter_riders
fim_shrine_balor_eye_tyrant	fim_shrine_balor_riders
fim_shrine_balor_balefiend	fim_shrine_balor_riders
ovn_fim_cav_marsh_hornets_rider	ovn_fim_cav_marsh_hornets_riders
