key	generate	localised_description	localised_title	mission_type	ui_icon	ui_image	prioritised	event_category	set_piece_battle	location_x	location_y	quest_mission	trigger_radius	quest_character	quest_mission_final	sticky_by_default
ovn_grudge_me_take_morgheim	false	conquer morgheim		CAPTURE_REGIONS	rom_event_mission.png	def/generic	true	Quest		0	0	true	0.0		false	false
ovn_grudge_me_take_zandri	false	conquer zandri		CAPTURE_REGIONS	rom_event_mission.png	def/generic	true	Quest		0	0	true	0.0		false	false
ovn_grudge_me_take_kasabar	false	conquer kasabar		CAPTURE_REGIONS	rom_event_mission.png	def/generic	true	Quest		0	0	true	0.0		false	false
ovn_grudge_me_kill_dk	false	ovn_grudge_vortex_kill_dk		ELIMINATE_CHARACTER_IN_BATTLE	rom_event_mission.png	def/generic	true	Quest		0	0	true	0.0		false	false
ovn_grudge_me_kill_arkhan	false	ovn_grudge_vortex_kill_arkhan		ELIMINATE_CHARACTER_IN_BATTLE	rom_event_mission.png	def/generic	true	Quest		0	0	true	0.0		false	false
ovn_dk_vortex_take_morgheim	false	conquer morgheim		CAPTURE_REGIONS	rom_event_mission.png	def/generic	true	Quest		0	0	true	0.0		false	false
ovn_dk_me_take_morgheim	false	conquer morgheim		CAPTURE_REGIONS	rom_event_mission.png	def/generic	true	Quest		0	0	true	0.0		false	false
pj_blood_dragon_targets_1	false			SCRIPTED	rom_event_mission.png	cst/generic	true	Military		0	0	false	0.0		false	false
pj_blood_dragon_targets_2	false			SCRIPTED	rom_event_mission.png	cst/generic	true	Military		0	0	false	0.0		false	false
pj_blood_dragon_targets_3	false			SCRIPTED	rom_event_mission.png	cst/generic	true	Military		0	0	false	0.0		false	false
pj_blood_dragon_targets_4	false			SCRIPTED	rom_event_mission.png	cst/generic	true	Military		0	0	false	0.0		false	false
pj_blood_dragon_targets_5	false			SCRIPTED	rom_event_mission.png	cst/generic	true	Military		0	0	false	0.0		false	false
pj_grudgebringers_targets_1	false			SCRIPTED	rom_event_mission.png	cst/generic	true	Military		0	0	false	0.0		false	false
pj_grudgebringers_targets_2	false			SCRIPTED	rom_event_mission.png	cst/generic	true	Military		0	0	false	0.0		false	false
pj_grudgebringers_targets_3	false			SCRIPTED	rom_event_mission.png	cst/generic	true	Military		0	0	false	0.0		false	false
pj_grudgebringers_targets_4	false			SCRIPTED	rom_event_mission.png	cst/generic	true	Military		0	0	false	0.0		false	false
pj_grudgebringers_targets_5	false			SCRIPTED	rom_event_mission.png	cst/generic	true	Military		0	0	false	0.0		false	false
ovn_halfling_establish_restaurant_mission	true	The pets of the Vampire Counts are fearsome Unliving creatures whose only desire is to serve. Read the books and summon them to our cause!	Unholy Beasts	SCRIPTED	rom_event_mission.png	emp/generic	true	Quest		0	0	true	0.0		false	false
ovn_albion_second_lord_mission_morrigan	true			SCRIPTED	rom_event_mission.png	emp/generic	true	Quest		0	0	true	0.0		false	false
ovn_albion_second_lord_mission_durak	true			SCRIPTED	rom_event_mission.png	emp/generic	true	Quest		0	0	true	0.0		false	false
