agent	faction	subtype
spy	wh2_main_vmp_blood_dragons	vmp_banshee
wizard	wh2_main_vmp_blood_dragons	vmp_necromancer
champion	wh2_main_nor_trollz	elo_troll_champ
general	wh2_main_nor_albion	albion_morrigan
general	wh2_main_nor_albion	albion_warleader
general	wh2_main_nor_albion	albion_truthsayer_beast
general	wh2_main_nor_albion	albion_truthsayer_life
general	wh2_main_nor_albion	albion_truthsayer_light
general	wh2_main_nor_albion	albion_truthsayer_truth
wizard	wh2_main_nor_albion	albion_wyrd_druid
champion	wh2_main_nor_albion	albion_chief
colonel	wh2_main_nor_albion	albion_warleader
general	wh2_main_nor_albion	bl_elo_dural_durak
dignitary	wh2_main_amz_amazons	default
engineer	wh2_main_amz_amazons	default
minister	wh2_main_amz_amazons	default
runesmith	wh2_main_amz_amazons	default
champion	wh2_main_arb_caliphate_of_araby	roy_arb_champion
colonel	wh2_main_arb_caliphate_of_araby	ovn_araby_ll
dignitary	wh2_main_arb_caliphate_of_araby	emp_warrior_priest
engineer	wh2_main_arb_caliphate_of_araby	default
general	wh2_main_arb_caliphate_of_araby	ovn_araby_ll
minister	wh2_main_arb_caliphate_of_araby	default
runesmith	wh2_main_arb_caliphate_of_araby	default
spy	wh2_main_arb_caliphate_of_araby	roy_arb_nomad
wizard	wh2_main_arb_caliphate_of_araby	arb_magician_life
wizard	wh2_main_arb_caliphate_of_araby	arb_magician_desert
wizard	wh2_main_arb_caliphate_of_araby	arb_magician_fire
wizard	wh2_main_arb_caliphate_of_araby	arb_magician_heavens
champion	wh2_main_arb_aswad_scythans	roy_arb_champion
colonel	wh2_main_arb_aswad_scythans	ovn_araby_ll
dignitary	wh2_main_arb_aswad_scythans	emp_warrior_priest
engineer	wh2_main_arb_aswad_scythans	default
general	wh2_main_arb_aswad_scythans	ovn_araby_ll
minister	wh2_main_arb_aswad_scythans	default
runesmith	wh2_main_arb_aswad_scythans	default
spy	wh2_main_arb_aswad_scythans	roy_arb_nomad
wizard	wh2_main_arb_aswad_scythans	arb_magician_life
wizard	wh2_main_arb_aswad_scythans	arb_magician_desert
wizard	wh2_main_arb_aswad_scythans	arb_magician_fire
wizard	wh2_main_arb_aswad_scythans	arb_magician_heavens
champion	wh2_main_arb_flaming_scimitar	roy_arb_champion
colonel	wh2_main_arb_flaming_scimitar	ovn_araby_ll
dignitary	wh2_main_arb_flaming_scimitar	emp_warrior_priest
engineer	wh2_main_arb_flaming_scimitar	default
general	wh2_main_arb_flaming_scimitar	ovn_araby_ll
minister	wh2_main_arb_flaming_scimitar	default
runesmith	wh2_main_arb_flaming_scimitar	default
spy	wh2_main_arb_flaming_scimitar	roy_arb_nomad
wizard	wh2_main_arb_flaming_scimitar	arb_magician_life
wizard	wh2_main_arb_flaming_scimitar	arb_magician_desert
wizard	wh2_main_arb_flaming_scimitar	arb_magician_fire
wizard	wh2_main_arb_flaming_scimitar	arb_magician_heavens
general	wh2_main_arb_caliphate_of_araby	Sultan_Jaffar
wizard	wh2_main_arb_aswad_scythans	vmp_necromancer
wizard	wh2_main_arb_caliphate_of_araby	vmp_necromancer
wizard	wh2_main_arb_flaming_scimitar	vmp_necromancer
general	wh2_main_arb_flaming_scimitar	arb_golden_magus
general	wh2_main_arb_caliphate_of_araby	arb_vizier_fire_0
general	wh2_main_arb_caliphate_of_araby	arb_vizier_life_0
general	wh2_main_arb_caliphate_of_araby	arb_vizier_heavens_0
general	wh2_main_arb_caliphate_of_araby	arb_vizier_desert_0
general	wh2_main_arb_flaming_scimitar	arb_vizier_fire_0
general	wh2_main_arb_flaming_scimitar	arb_vizier_life_0
general	wh2_main_arb_flaming_scimitar	arb_vizier_heavens_0
general	wh2_main_arb_flaming_scimitar	arb_vizier_desert_0
general	wh2_main_arb_aswad_scythans	arb_vizier_fire_0
general	wh2_main_arb_aswad_scythans	arb_vizier_life_0
general	wh2_main_arb_aswad_scythans	arb_vizier_heavens_0
general	wh2_main_arb_aswad_scythans	arb_vizier_desert_0
wizard	wh2_main_emp_grudgebringers	vladimir_stormbringer
champion	wh2_main_emp_grudgebringers	emp_captain
colonel	wh2_main_emp_grudgebringers	emp_lord
dignitary	wh2_main_emp_grudgebringers	emp_warrior_priest
engineer	wh2_main_emp_grudgebringers	default
general	wh2_main_emp_grudgebringers	wh2_dlc13_emp_cha_huntsmarshal_0
general	wh2_main_emp_grudgebringers	emp_lord
minister	wh2_main_emp_grudgebringers	default
runesmith	wh2_main_emp_grudgebringers	default
spy	wh2_main_emp_grudgebringers	emp_witch_hunter
wizard	wh2_main_emp_grudgebringers	dlc03_emp_amber_wizard
wizard	wh2_main_emp_grudgebringers	dlc05_emp_grey_wizard
wizard	wh2_main_emp_grudgebringers	dlc05_emp_jade_wizard
wizard	wh2_main_emp_grudgebringers	emp_bright_wizard
wizard	wh2_main_emp_grudgebringers	emp_celestial_wizard
wizard	wh2_main_emp_grudgebringers	emp_light_wizard
wizard	wh2_main_emp_grudgebringers	wh2_pro07_emp_amethyst_wizard
general	wh2_main_emp_grudgebringers	morgan_bernhardt
general	wh2_main_emp_the_moot	ovn_hlf_ll
colonel	wh2_main_emp_the_moot	ovn_hlf_moot_general
champion	wh2_main_emp_the_moot	emp_captain
dignitary	wh2_main_emp_the_moot	emp_warrior_priest
engineer	wh2_main_emp_the_moot	default
minister	wh2_main_emp_the_moot	default
runesmith	wh2_main_emp_the_moot	default
spy	wh2_main_emp_the_moot	emp_witch_hunter
wizard	wh2_main_emp_the_moot	dlc03_emp_amber_wizard
wizard	wh2_main_emp_the_moot	dlc05_emp_grey_wizard
wizard	wh2_main_emp_the_moot	emp_bright_wizard
wizard	wh2_main_emp_the_moot	emp_celestial_wizard
wizard	wh2_main_emp_the_moot	emp_light_wizard
wizard	wh2_main_emp_the_moot	wh2_pro07_emp_amethyst_wizard
general	wh2_main_emp_the_moot	ovn_hlf_moot_general
spy	wh2_main_emp_the_moot	ovn_hlf_fieldwarden
dignitary	wh2_main_emp_the_moot	ovn_hlf_master_chef
champion	wh2_main_emp_the_moot	ovn_hlf_sheriff
general	wh2_main_emp_the_moot	ovn_hlf_glibfoot
general	wh2_main_nor_servants_of_fimulneid	fim_meargh_skattach
general	wh2_main_nor_rotbloods	ribspreader
general	wh2_main_hef_citadel_of_dusk	ovn_stormrider
general	wh2_main_arb_aswad_scythans	arb_fatandira
general	wh2_main_nor_harbingers_of_doom	belakor
dignitary	wh2_main_nor_harbingers_of_doom	wh_dlc08_nor_cha_fimir_balefiend_beast
dignitary	wh2_main_nor_harbingers_of_doom	wh_dlc08_nor_cha_fimir_balefiend_death
dignitary	wh2_main_nor_servants_of_fimulneid	wh_dlc08_nor_cha_fimir_balefiend_death
dignitary	wh2_main_nor_servants_of_fimulneid	wh_dlc08_nor_cha_fimir_balefiend_beast
champion	wh2_main_nor_trollz	default
colonel	wh2_main_nor_trollz	elo_cha_troll_lord
dignitary	wh2_main_nor_trollz	default
engineer	wh2_main_nor_trollz	default
general	wh2_main_nor_trollz	elo_cha_troll_lord
minister	wh2_main_nor_trollz	default
spy	wh2_main_nor_trollz	default
wizard	wh2_main_nor_trollz	grn_night_goblin_shaman
colonel	wh2_main_rogue_troll_skullz	elo_cha_troll_lord
general	wh2_main_rogue_troll_skullz	elo_cha_troll_lord
runesmith	wh2_main_nor_trollz	wh2_dlc15_grn_river_troll_hag
general	wh2_main_nor_trollz	elo_chief_ugma
champion	wh2_dlc09_tmb_the_sentinels	elo_dread_centurion
general	wh2_dlc09_tmb_the_sentinels	elo_liche_general
general	wh2_dlc09_tmb_the_sentinels	Dread_King
colonel	wh2_dlc09_tmb_the_sentinels	elo_liche_general
general	wh2_dlc09_tmb_the_sentinels	elo_hand_of_nagash
general	wh2_main_emp_the_moot	ovn_com_olorin_the_grey_wizard
champion	wh2_main_emp_the_moot	ovn_com_aragand_the_layabout
spy	wh2_main_emp_the_moot	ovn_com_legles_the_elf
champion	wh2_main_emp_the_moot	ovn_com_giblit_the_dwarf
champion	wh2_main_rogue_troll_skullz	elo_troll_champ
champion	wh2_main_rogue_troll_skullz	default
spy	wh2_main_rogue_troll_skullz	elo_carrion_boss
spy	wh2_main_rogue_troll_skullz	default
wizard	wh2_main_emp_the_moot	dlc05_emp_jade_wizard
