building_chains_tables	6
key	tech_category_tab	encyclopedia_group	chain_category	in_encyclopedia	building_superchain	optional_tier_icon	optional_sort_order	optional_required_horde_commander
ovn_arb_fyrus			military	false	ovn_arb_fyrus		7	
ovn_arb_Sabar			military	false	ovn_arb_Sabar		7	
ovn_arb_Madrasat			military	false	ovn_arb_Madrasat		7	
ovn_arb_Sartosa			military	false	ovn_arb_Sartosa		7	
ovn_arb_Magritta			military	false	ovn_arb_Magritta		7	
ovn_arb_Crypt			military	false	ovn_arb_Crypt		7	
ovn_arb_Twilight			military	false	ovn_arb_Twilight		7	
ovn_arb_scy_tmb			military	false	wh_main_sch_special_reiksfort		1	
arb_flaming_scimitar_main			money	false	arb_flaming_scimitar_main	data\UI\Buildings\tier_icons\tier_coast_ship.png	0	
arb_flaming_scimitar_barracks			military	false	arb_flaming_scimitar_barracks		1	
arb_flaming_scimitar_support_monsters			military	false	arb_flaming_scimitar_support_monsters		1	
arb_flaming_scimitar_support_mages			military	false	arb_flaming_scimitar_support_mages		2	
arb_flaming_scimitar_structure_movement			military	false	arb_flaming_scimitar_structure_movement		1	
arb_flaming_scimitar_structure_upkeep			military	false	arb_flaming_scimitar_structure_upkeep		2	
arb_flaming_scimitar_structure_replenishment			military	false	arb_flaming_scimitar_structure_replenishment		3	
arb_flaming_scimitar_structure_growth			military	false	arb_flaming_scimitar_structure_growth		4	
arb_flaming_scimitar_defense_bombardment			military	false	arb_flaming_scimitar_defense_bombardment		1	
arb_flaming_scimitar_unique_minaret			military	false	arb_flaming_scimitar_unique_minaret		1	
arb_flaming_scimitar_defense_magical_bombardment			military	false	arb_flaming_scimitar_defense_magical_bombardment		2	
arb_golden_magus_special_galleon_graveyard			money	false	wh2_dlc11_sch_special_settlement_galleons_graveyard		0	
ovn_araby_walls			military	true	wh_main_sch_teb_walls		0	
ovn_araby_ch_coffee			money	false	ovn_araby_sch_coffee		1	
ovn_blood_landmark			military	false	ovn_blood_landmark		7	
ovn_blood_keep			military	false	ovn_blood_keep		7	
ovn_Citadel_of_dusk			military	false	ovn_Citadel_of_dusk		7	
ovn_fimir_income			money	false	wh_main_sch_norsca_outpost_income		7	
ovn_fimir_agent			military	false	wh2_main_sch_military2_stables		7	
ovn_fimir_mil			military	false	wh2_main_sch_military1_barracks		7	
ovn_fimir_nor			military	false	wh_main_sch_norsca_military		7	
ovn_fimir_beast			military	false	wh2_main_sch_military4_monsters		7	
ovn_fimir_agrul_migdhal_landmark			money	false	ovn_fimir_agrul_migdhal_landmark		7	
wh_main_emp_cha_grudge_main			money	false	wh_main_emp_cha_grudge_main	tier_beastmen_warcamp.png	0	
wh_main_emp_cha_grudge_recruit			military	false	wh_main_emp_cha_grudge_recruit		1	
wh_main_emp_cha_grudge_wizard			military	false	wh_main_emp_cha_grudge_wizard		2	
wh_main_emp_cha_grudge_worship			military	false	wh_main_emp_cha_grudge_worship		3	
wh_main_emp_cha_grudge_growth			military	false	wh_main_emp_cha_grudge_growth		4	
wh_main_emp_cha_grudge_paymaster			military	false	wh_main_emp_cha_grudge_paymaster		5	
wh_main_emp_cha_grudge_bank			military	false	wh_main_emp_cha_grudge_bank		6	
wh_main_emp_cha_grudge_hero			military	false	wh_main_emp_cha_grudge_hero		7	
ovn_grudge_settlement_recruit			military	false	wh2_main_sch_military1_barracks		0	
ovn_grudge_settlement_smith			military	false	wh2_main_sch_support1_smith		0	
ovn_grudge_settlement_income			money	false	wh2_main_sch_infrastructure2_industry		0	
ovn_grudge_settlement_growth			money	false	wh2_main_sch_infrastructure1_farm		0	
ovn_hlf_resource_salt			money	true	wh_main_sch_human_resource_salt		10	
ovn_hlf_welf			military	false	ovn_hlf_welf		7	
ovn_hlf_cig			money	false	ovn_hlf_cig		7	
ovn_Animal_Rearing			military	false	wh2_main_sch_military2_stables		7	
ovn_half_industry			money	false	wh2_main_sch_infrastructure2_industry		7	
ovn_half_dragon			military	false	wh2_main_sch_military4_monsters		7	
ovn_half_barracks			military	false	wh2_main_sch_military1_barracks		1	
ovn_half_forges			military	false	wh2_main_sch_military3_warmachines		3	
ovn_half_tavern			happiness	false	wh2_main_sch_infrastructure3_order		3	
ovn_hlf_under_set_menu			money	false	ovn_hlf_under_food		1	
ovn_hlf_under_pick_menu			money	false	ovn_hlf_under_food		2	
ovn_hlf_under_buffet_menu			money	false	ovn_hlf_under_food		3	
ovn_hlf_under_special_menu			money	false	ovn_hlf_under_food		4	
ovn_hlf_under_drinks_wine			money	false	ovn_hlf_under_drinks		5	
ovn_hlf_under_drinks_cofee			money	false	ovn_hlf_under_drinks		7	
ovn_hlf_under_barn			money	false	ovn_hlf_under_other		9	
ovn_hlf_under_revelry			money	false	ovn_hlf_under_other		1	
ovn_hlf_under_security			money	false	ovn_hlf_under_other		1	
ovn_hlf_under_fence			money	false	ovn_hlf_under_other		1	
ovn_evil_income			money	false	wh_main_sch_norsca_outpost_income		7	
ovn_grn_agent			military	false	wh_main_sch_human_worship		7	
ovn_cd_slave			money	false	wh2_main_sch_infrastructure1_farm		7	
ovn_cd_work			military	false	wh_main_sch_human_forges		7	
ovn_warp_military			military	false	wh2_main_sch_military1_barracks		1	
ovn_warp_stables			military	false	wh2_main_sch_military2_stables		2	
hertz_rotblood_nurgle_corruption			money	false	hertz_rotblood_nurgle_building_superchain		1	
hertz_rotblood_nurgle_income			money	false	hertz_rotblood_nurgle_building_superchain		2	
ovn_Clan_Fester			military	false	wh2_main_sch_military4_monsters		3	
ovn_chs_agent			military	false	wh_main_sch_human_worship		7	
ovn_rot_stables			military	false	wh2_main_sch_military2_stables		2	
ovn_rot_military			military	false	wh2_main_sch_military1_barracks		1	
ovn_rot_monsters			military	false	wh_main_sch_norsca_creatures		4	
ovn_troll_Bridges			money	false	wh2_main_sch_infrastructure2_industry		7	
ovn_troll_Wyvern			military	false	wh2_main_sch_military1_barracks		7	
ovn_troll_creatures			military	false	wh_main_sch_norsca_creatures		4	
ovn_troll_offerings			military	false	wh_main_sch_norsca_offerings		7	
ovn_troll_outpost_stables			military	false	wh_main_sch_norsca_outpost_stables		2	
ovn_troll_worship			money	false	wh_main_sch_norsca_worship		4	
elo_troll			military	false	wh_main_sch_special_reiksfort		0	
elo_dragon_crag			money	false	elo_dragon_crag		0	
arb_fatandira_landmark			money	false	arb_fatandira_landmark		0	
ovn_warp_skaven_mercs			military	false	wh2_main_sch_military6		8	
ovn_Albion_Barrows			military	false	ovn_Albion_Barrows		0	
ovn_Albion_War			military	false	ovn_Albion_War		0	
