unit_abilities_to_additional_ui_effects_juncs_tables	0
ovn_spell_desert_burning_hands	wh_main_all_can_disrupt_formation
ovn_spell_desert_burning_hands	wh_main_all_strong_against_units
ovn_spell_desert_burning_hands	wh_main_all_weak_against_single
ovn_spell_desert_burning_hands	wh_main_vortex_large_breath
ovn_spell_desert_burning_hands_upgraded	wh2_main_all_magical_and_flaming_major
ovn_spell_desert_burning_hands_upgraded	wh_main_all_can_disrupt_formation
ovn_spell_desert_burning_hands_upgraded	wh_main_all_strong_against_units
ovn_spell_desert_burning_hands_upgraded	wh_main_all_weak_against_single
ovn_spell_desert_burning_hands_upgraded	wh_main_vortex_large_breath
ovn_spell_desert_burning_hands_upgraded	wh_main_spell_upgraded_ap_damage_ranged
ovn_spell_desert_curse_of_the_djinn_upgraded	ovn_spell_upgraded_added_resistance_magic
ovn_spell_desert_curse_of_the_djinn_upgraded	wh_main_spell_upgraded_area
roy_unit_active_arb_strike_from_the_shadows	wh2_main_all_flanking
roy_unit_active_arb_strike_from_the_shadows	wh2_main_all_hiding
roy_unit_active_arb_doppelgang	wh2_dlc10_all_summon_no_damage
roy_unit_active_arb_doppelgang	ovn_all_summon_arb_nomad_assassin_mirror
Black_Book_Of_Ibn_Naggazar	wh_main_all_direct_damage_self
Black_Book_Of_Ibn_Naggazar	wh_main_all_improved_recharge_rate_high
Black_Book_Of_Ibn_Naggazar	wh_main_all_increased_max_power_high
arb_jaffar_serpent_djinn	wh2_main_all_good_against_armour
arb_jaffar_serpent_djinn	wh2_main_army_ap_damage_ranged
arb_jaffar_serpent_djinn	wh2_main_spell_medium_wind
master_of_the_shadow_2	wh_main_all_improved_recharge_rate
master_of_the_shadow_2	wh_main_all_increased_max_power_high
master_of_the_shadow_1	wh_main_all_improved_recharge_rate
master_of_the_shadow_1	wh_main_all_increased_max_power
elo_summon_fenbeasts	wh_main_all_direct_damage_unbinding
elo_summon_fenbeasts	elo_summon_fenbeasts
elo_amulet_old_ones	wh_main_all_replenish_burst
elo_amulet_old_ones	wh_main_all_increased_max_power
elo_amulet_old_ones	elo_amulet_old_ones
spell_truth_wings_fate	wh2_main_all_weak_against_armour
spell_truth_wings_fate	wh2_main_all_magical_damage_moderate
spell_truth_wings_fate	wh_main_all_strong_against_multiple
spell_truth_wings_fate_upgraded	wh_main_all_strong_against_multiple
spell_truth_wings_fate_upgraded	wh_main_spell_upgraded_ap_damage_explosion_ranged
spell_truth_wings_fate_upgraded	wh_main_spell_upgraded_damage
spell_truth_wings_fate_upgraded	wh2_main_all_magical_damage_moderate
spell_truth_gift_life	wh_main_all_replenish
spell_truth_gift_life	wh_main_all_resurrect
spell_truth_gift_life	wh_main_all_resurrect_hp
spell_truth_gift_life_upgraded	wh_main_all_replenish
spell_truth_gift_life_upgraded	wh_main_all_resurrect
spell_truth_gift_life_upgraded	wh_main_all_resurrect_hp
spell_truth_gift_life_upgraded	wh_main_spell_upgraded_added_effect_range
spell_truth_valor_upgraded	wh_main_spell_upgraded_added_effect_range
spell_truth_protection_upgraded	wh_main_spell_upgraded_added_effect_range
spell_truth_voice_command_upgraded	wh_main_spell_upgraded_added_effect_range
murder_crows	wh_main_all_direct_damage
murder_crows	wh_main_all_direct_damage_resist_high
murder_crows	wh_main_all_strong_against_multiple
murder_crows	wh_main_all_weak_against_single
spell_truth_wings_fate_bound	wh_main_all_strong_against_multiple
spell_truth_wings_fate_bound	wh_main_spell_upgraded_ap_damage_explosion_ranged
spell_truth_wings_fate_bound	wh2_main_all_magical_damage_moderate
darkened_skies	wh_main_all_direct_damage
darkened_skies	wh_main_all_direct_damage_resist_high
murder_crows_upgraded	wh_main_all_direct_damage
murder_crows_upgraded	wh_main_all_direct_damage_resist_high
murder_crows_upgraded	wh_main_all_strong_against_multiple
murder_crows_upgraded	wh_main_all_weak_against_single
murder_crows_upgraded	wh2_main_spell_upgraded_cooldown
murder_crows_upgraded	wh_main_spell_upgraded_added_effect_range
spell_truth_boon_courage_upgraded	wh_main_spell_upgraded_duration
elo_albion_freedom	wh2_dlc12_refuse_to_die
elo_albion_freedom	wh_dlc06_automatic
elo_hengus_blessing	wh_dlc06_automatic
elo_hengus_blessing	elo_hengus_blessing
ovn_baby_dragon_breath	wh2_main_all_flaming
ovn_baby_dragon_breath	wh_main_all_strong_against_unit
ovn_baby_dragon_breath	wh_main_all_weak_against_single
ovn_baby_dragon_breath	wh_main_projectile_powerful_explosion
ovn_take_bite	wh_main_all_replenish
ovn_take_bite	wh_dlc06_automatic
ovn_dont_abandon	wh_dlc06_automatic
ammo_supply	wh2_dlc11_all_replenish_ammo
larenscheld_ghost_on_death	larenscheld_ghost_on_death
larenscheld_ghost_on_death_upgraded	larenscheld_ghost_on_death_upgraded
larenscheld_change_at_will	larenscheld_change_at_will
larenscheld_bombardment	wh_main_all_strong_against_unit
larenscheld_bombardment	wh_main_all_weak_against_single
larenscheld_bombardment	wh_main_bombardment_large_strike_aoe
larenscheld_bombardment	wh2_main_all_magical_damage_major
burning_aura_of_ouch	wh_main_all_direct_damage
burning_aura_of_ouch	wh_main_all_direct_damage_resist_high
burning_aura_of_ouch	wh_main_all_strong_against_multiple
burning_aura_of_ouch	wh_main_all_weak_against_single
elo_liche_land_of_nagash	wh_dlc06_automatic
elo_liche_land_of_nagash	wh_main_all_direct_damage_high
elo_liche_land_of_nagash	wh_main_all_direct_damage_unbinding
elo_liche_land_of_nagash	dead_rise_liche
elo_liche_call_the_legions	wh_main_all_direct_damage_unbinding
elo_liche_call_the_legions_overcast	wh_main_all_direct_damage_unbinding
elo_liche_call_the_legions	raise_legion
elo_liche_call_the_legions_overcast	raise_legion_greatswords
elo_hungering_blade	wh_main_all_replenish
elo_hand_vortex	wh2_main_all_magical_damage_major
elo_hand_vortex	wh2_dlc15_tip_when_surrounded
elo_hand_vortex	wh_main_all_weak_against_single
elo_necromantic_anchor	wh_main_all_replenish
elo_necromantic_anchor	wh_main_all_resurrect
elo_necromantic_anchor	wh_main_all_resurrect_hp
elo_so_hungry	wh_dlc06_automatic
elo_so_hungry	wh_main_all_direct_damage_self_high
elo_so_hungry	troll_fodder_ui
spell_ice_shield_of_cold_upgraded	wh_main_spell_upgraded_added_armour
spell_ice_shield_of_cold_upgraded	wh_main_spell_upgraded_added_effect_range
spell_ice_shield_of_cold_upgraded	wh_main_spell_upgraded_duration
spell_ice_frost_blade_upgraded	wh_main_spell_upgraded_added_effect_range
spell_ice_frost_blade_upgraded	wh_main_spell_upgraded_duration
spell_ice_crisping_cold_upgraded	wh_main_spell_upgraded_added_effect_range
spell_ice_crisping_cold_upgraded	wh_main_spell_upgraded_duration
spell_ice_shattering_frost_upgraded	wh_main_spell_upgraded_duration
spell_ice_chill_upgraded	wh_main_spell_upgraded_duration
spell_ice_blinding_blizzard_upgraded	wh_main_spell_upgraded_duration
spell_ice_ice_shards_upgraded	wh2_main_all_magical_damage_moderate
spell_ice_ice_shards_upgraded	wh_main_all_direct_damage
spell_ice_ice_shards_upgraded	wh_main_all_strong_against_multiple
spell_ice_ice_shards_upgraded	wh_main_projectile_effective_long_range
spell_ice_ice_shards_upgraded	wh_main_projectile_powerful_explosion
spell_ice_ice_shards_upgraded	wh_main_spell_upgraded_damage
spell_ice_ice_shards	wh2_main_all_magical_damage_moderate
spell_ice_ice_shards	wh_main_all_direct_damage
spell_ice_ice_shards	wh_main_all_strong_against_multiple
spell_ice_ice_shards	wh_main_projectile_effective_long_range
spell_ice_ice_shards	wh_main_projectile_powerful_explosion
spell_ice_storm_strike_upgraded	wh2_main_all_magical_damage_moderate
spell_ice_storm_strike_upgraded	wh_main_all_can_disrupt_formation
spell_ice_storm_strike_upgraded	wh_main_all_strong_against_units
spell_ice_storm_strike_upgraded	wh_main_all_weak_against_single
spell_ice_storm_strike_upgraded	wh_main_spell_upgraded_ap_damage_ranged
spell_ice_storm_strike_upgraded	wh_main_vortex_large_breath
spell_ice_storm_strike	wh2_main_all_magical_damage_moderate
spell_ice_storm_strike	wh2_main_all_weak_against_armour
spell_ice_storm_strike	wh_main_all_can_disrupt_formation
spell_ice_storm_strike	wh_main_all_strong_against_units
spell_ice_storm_strike	wh_main_vortex_large_breath
spell_ice_chill_blast_upgraded	wh2_main_all_good_against_armour
spell_ice_chill_blast_upgraded	wh2_main_all_magical_damage_minor
spell_ice_chill_blast_upgraded	wh2_main_spell_small_wind
spell_ice_chill_blast_upgraded	wh2_main_spell_upgraded_frostbite
spell_ice_chill_blast_upgraded	wh_main_all_strong_against_units
spell_ice_chill_blast	wh2_main_all_good_against_armour
spell_ice_chill_blast	wh2_main_all_magical_damage_minor
spell_ice_chill_blast	wh2_main_spell_small_wind
spell_ice_chill_blast	wh_main_all_strong_against_units
spell_ice_ice_blizzard_upgraded	wh2_main_spell_upgraded_cooldown
spell_ice_ice_blizzard_upgraded	wh_main_all_direct_damage_resist
spell_ice_ice_blizzard_upgraded	wh_main_all_strong_against_multiple
spell_ice_ice_blizzard_upgraded	wh_main_all_weak_against_single
spell_ice_ice_blizzard	wh_main_all_direct_damage_resist
spell_ice_ice_blizzard	wh_main_all_strong_against_multiple
spell_ice_ice_blizzard	wh_main_all_weak_against_single
spell_ice_tempest_upgraded	wh2_main_all_magical_damage_major
spell_ice_tempest_upgraded	wh2_main_spell_huge_vortex
spell_ice_tempest_upgraded	wh_main_all_good_against_flying
spell_ice_tempest_upgraded	wh_main_all_strong_against_multiple
spell_ice_tempest_upgraded	wh_main_spell_upgraded_duration
spell_ice_tempest	wh2_main_all_magical_damage_major
spell_ice_tempest	wh2_main_spell_huge_vortex
spell_ice_tempest	wh_main_all_good_against_flying
spell_ice_tempest	wh_main_all_strong_against_multiple
spell_ice_hailstorm_upgraded	wh2_main_all_good_against_armour
spell_ice_hailstorm_upgraded	wh2_main_all_huge_static_aoe
spell_ice_hailstorm_upgraded	wh2_main_all_magical_damage_massive
spell_ice_hailstorm_upgraded	wh_main_all_strong_against_units
spell_ice_hailstorm_upgraded	wh_main_bombardment_large_strike_aoe
spell_ice_hailstorm_upgraded	wh_main_spell_upgraded_ap_damage_explosion_ranged
spell_ice_hailstorm	wh2_main_all_good_against_armour
spell_ice_hailstorm	wh2_main_all_huge_static_aoe
spell_ice_hailstorm	wh2_main_all_magical_damage_massive
spell_ice_hailstorm	wh_main_all_strong_against_units
spell_ice_hailstorm	wh_main_bombardment_large_strike_aoe
grudge_character_abilities_volley_of_high_arrows	wh_main_all_armour_piercing
grudge_character_abilities_volley_of_high_arrows	wh_main_projectile_effective_long_range
grudge_character_abilities_volley_of_high_arrows	wh_main_projectile_high_penetration
grudge_character_abilities_volley_of_dark_arrows	wh_main_all_armour_piercing
grudge_character_abilities_volley_of_dark_arrows	wh_main_projectile_effective_long_range
grudge_character_abilities_volley_of_dark_arrows	wh_main_projectile_high_penetration
grudge_hero_abilities_arrow_of_kurnous	wh_main_all_armour_piercing
grudge_hero_abilities_arrow_of_kurnous	wh_main_projectile_effective_long_range
grudge_hero_abilities_arrow_of_kurnous	wh_main_projectile_high_penetration
grudge_hero_abilities_shrapnel_shot	wh_dlc05_projectile_strikes_ahead
grudge_hero_abilities_shrapnel_shot	wh_main_all_strong_against_multiple
grudge_hero_abilities_pepperpot	wh_dlc06_projectile_cause_explosion
grudge_hero_abilities_pepperpot	wh_main_all_strong_against_multiple
grudge_weapon_abilities_hellfire_sword	wh2_main_spell_friendly_fire_explosion
grudge_weapon_abilities_hellfire_sword	wh_main_all_poor_vs_large
grudge_weapon_abilities_grudgebringer_sword	wh2_main_all_magical_and_flaming_medium
grudge_weapon_abilities_grudgebringer_sword	wh2_main_all_weak_against_armour
grudge_weapon_abilities_grudgebringer_sword	wh_main_all_strong_against_multiple
grudge_weapon_abilities_storm_sword	wh_main_all_magical
grudge_weapon_abilities_storm_sword	wh_main_all_strong_against_multiple
grudge_weapon_abilities_storm_sword	wh_main_all_weak_against_single
grudge_weapon_abilities_storm_sword	wh_main_bombardment_small_strike_aoe
grudge_item_abilities_banner_of_wrath	wh_main_all_magical
grudge_item_abilities_banner_of_wrath	wh_main_all_strong_against_multiple
grudge_item_abilities_banner_of_wrath	wh_main_all_weak_against_single
grudge_item_abilities_banner_of_wrath	wh_main_bombardment_small_strike_aoe
grudge_ability_swiftness_of_itzl	wh2_main_spell_escape
grudge_ability_swiftness_of_itzl	wh2_main_spell_friendly_fire_explosion
grudge_ability_swiftness_of_itzl	wh_main_all_poor_vs_large
grudge_ability_skv_verminous_valour	wh2_main_spell_escape
grudge_ability_skv_verminous_valour	wh2_main_spell_friendly_fire_explosion
grudge_ability_skv_verminous_valour	wh_main_all_poor_vs_large
grudge_weapon_abilities_grudgebringer_sword	wh_main_all_can_disrupt_formation
grudge_weapon_abilities_grudgebringer_sword	wh_main_all_weak_against_single
grudge_weapon_abilities_grudgebringer_sword	wh_main_vortex_large_breath
ovn_arb_baz_ei_12_twilight_mirror_shard_ability	wh_dlc01_all_summon_spawn
ovn_arb_baz_ei_12_twilight_mirror_shard_ability	wh_dlc04_all_summon_melee_expert
ovn_arb_baz_ei_12_twilight_mirror_shard_ability	wh_main_all_direct_damage_unbinding
ovn_arb_baz_wep_10_vengeful_sword_heal	wh2_dlc15_heal_passive_48
ovn_arb_baz_wep_10_vengeful_sword_damage_self	wh2_dlc14_direct_damage_self_low
ovn_arb_baz_heal	ovn_arb_baz_heal
ovn_chs_dark_god_blessing	ovn_arb_baz_heal
abilities_rage_of_khorne	wh_main_spell_upgraded_melee_attack
abilities_rage_of_khorne	wh_main_spell_upgraded_melee_damage
abilities_rage_of_khorne	abilities_rage_of_khorne
blooth_thirsters_breath	blooth_thirsters_breath
fim_skattach_summon_bloodletters	fim_skattach_summon_bloodletters
fim_skattach_poison_mist	wh_main_all_direct_damage
fim_meargh_skattach_staff_balor_ability	wh2_main_all_good_against_armour
fim_meargh_skattach_staff_balor_ability	wh2_main_all_magical_damage_moderate
fim_meargh_skattach_staff_balor_ability	wh2_main_spell_stationary_aoe
fim_meargh_skattach_staff_balor_ability	wh_main_all_can_disrupt_formation
fim_meargh_skattach_staff_balor_ability	wh_main_all_strong_against_units
ribspreader_summon_allies	ribspreader_summon_allies_ui_effect
arb_fatandira_aimed_shot	wh2_dlc13_scaling_damage
arb_fatandira_aimed_shot	wh2_main_all_good_against_armour
arb_fatandira_aimed_shot	wh2_main_all_magical_damage_moderate
arb_fatandira_aimed_shot	wh_main_all_good_vs_large
arb_golden_magus_master_djinn	ovn_all_summon_genie
arb_golden_magus_flaming_scimitar_bolts_of_burning	wh2_main_all_good_against_armour
arb_golden_magus_flaming_scimitar_bolts_of_burning	wh2_main_all_magical_and_flaming_major
arb_golden_magus_flaming_scimitar_bolts_of_burning	wh2_main_bombardment_medium_strike_aoe
arb_golden_magus_flaming_scimitar_bolts_of_burning	wh_main_all_strong_against_unit
arb_golden_magus_flaming_scimitar_hurricane_blades	wh2_main_all_magical_damage_major
arb_golden_magus_flaming_scimitar_hurricane_blades	wh2_main_all_weak_against_armour
arb_golden_magus_flaming_scimitar_hurricane_blades	wh2_main_spell_large_vortex
arb_golden_magus_flaming_scimitar_hurricane_blades	wh_main_all_strong_against_units
arb_golden_magus_flaming_scimitar_royal_djinn	ovn_all_summon_fire_efreet
arb_golden_magus_skiff_scirocco	wh_main_all_direct_damage
arb_sultan_flame_bound_firestorm	wh2_main_all_magical_and_flaming_major
arb_sultan_flame_bound_firestorm	wh2_main_spell_medium_vortex
arb_sultan_flame_bound_firestorm	wh_main_all_strong_against_units
arb_sultan_flame_bound_firestorm	wh_main_all_weak_against_single
arb_sultan_flame_bound_fireburst	wh2_dlc15_self_bombard
arb_sultan_flame_bound_fireburst	wh2_dlc15_tip_ignores_armour
arb_sultan_flame_bound_fireburst	wh2_dlc15_tip_when_surrounded
hlf_glibfoot_hyshia_charged_shot	wh2_main_all_good_against_armour
hlf_glibfoot_hyshia_charged_shot	wh2_main_all_magical_and_flaming_major
hlf_glibfoot_hyshia_charged_shot	wh_main_all_good_vs_large
hlf_glibfoot_hyshia_charged_shot	wh_main_all_strong_against_single
hlf_glibfoot_hyshia_charged_shot	wh_main_projectile_good_high_angle
hlf_master_chef_regeneration_passive_aura	wh_main_all_replenish
hlf_master_chef_earth_blood	wh2_dlc15_heal_active_336
hlf_master_chef_earth_blood_upgraded	wh2_dlc15_heal_active_672
hlf_master_chef_earth_blood_upgraded	wh_main_spell_upgraded_duration
hlf_master_chef_flush_soup	wh2_main_all_weak_against_armour
hlf_master_chef_flush_soup	wh_main_all_poor_vs_large
ovn_character_abilities_the_recovery_of_the_king	wh2_dlc14_abilities_tzarkan
ovn_character_abilities_the_recovery_of_the_king	ovn_character_abilities_the_recovery_of_the_king_damage
ovn_character_abilities_the_recovery_of_the_king	wh2_dlc14_health_tzarkan
ovn_character_abilities_the_recovery_of_the_king	ovn_character_abilities_the_recovery_of_the_king_transform
ovn_character_abilities_hair_of_the_dog	ovn_heal_passive_24
cr_unit_abilities_emulation_of_kalagan	wh2_dlc15_heal_active_624
elo_lesser_vomit	wh2_main_all_good_against_armour
elo_lesser_vomit	wh_main_all_strong_against_unit
elo_lesser_vomit	wh_main_projectile_powerful_explosion
elo_greater_swamp_breath	wh2_main_all_good_against_armour
elo_greater_swamp_breath	wh_main_all_strong_against_unit
elo_greater_swamp_breath	wh_main_projectile_powerful_explosion
elo_violent_command	deals_damage_to_friendly
ovn_hlf_ammo	wh2_dlc11_all_replenish_ammo
ovn_hlf_mislead	wh2_dlc09_miscast_full_hide_snipe
ovn_hlf_mislead	wh2_dlc10_all_summon_alith_anar_mirror
ovn_hlf_mislead	wh2_dlc10_all_summon_no_damage
elo_special_treat	wh_main_all_replenish_burst
elo_special_treat	unit_kills_itself
