units_custom_battle_mounts_tables	1
elo_dread_centurion	ui/campaign ui/mounts/mount_skeletal_steed.png	elo_dread_centurion_horse
elo_dread_centurion	ui/campaign ui/mounts/mount_barded_skeletal_steed.png	elo_dread_centurion_barded_horse
elo_dread_centurion	ui/campaign ui/mounts/mount_skeleton_chariot.png	elo_dread_centurion_chariot
elo_liche_general	ui/campaign ui/mounts/mount_barded_skeletal_steed.png	elo_liche_general_barded_steed
elo_liche_general	ui/campaign ui/mounts/mount_skeleton_chariot.png	elo_liche_general_chariot
elo_liche_general	ui/campaign ui/mounts/mount_warsphinx.png	elo_liche_general_warsphinx
arb_vizier_fire_0	ui/campaign ui/mounts/ovn_cam_arb_camel5.png	arb_vizier_fire_1
arb_vizier_fire_0	ui/campaign ui/mounts/mount_magic_carpet.png	arb_vizier_fire_2
arb_vizier_life_0	ui/campaign ui/mounts/ovn_cam_arb_camel5.png	arb_vizier_life_1
arb_vizier_life_0	ui/campaign ui/mounts/mount_magic_carpet.png	arb_vizier_life_2
arb_vizier_heavens_0	ui/campaign ui/mounts/ovn_cam_arb_camel5.png	arb_vizier_heavens_1
arb_vizier_heavens_0	ui/campaign ui/mounts/mount_magic_carpet.png	arb_vizier_heavens_2
arb_vizier_desert_0	ui/campaign ui/mounts/ovn_cam_arb_camel5.png	arb_vizier_desert_1
arb_vizier_desert_0	ui/campaign ui/mounts/mount_magic_carpet.png	arb_vizier_desert_2
ribspreader	ui/campaign ui/mounts/mount_mammoth.png	ribspreader_mammoth
ovn_stormrider	ui/campaign ui/mounts/mount_imperial_griffon.png	ovn_stormrider_mount
arb_fatandira	ui/campaign ui/mounts/mount_warhorse.png	arb_fatandira_warhorse
arb_fatandira	ui/campaign ui/mounts/mount_great_eagle.png	arb_fatandira_roc
arb_golden_magus	ui/campaign ui/mounts/ovn_cam_arb_camel5.png	arb_golden_magus_camel
arb_golden_magus	ui/campaign ui/mounts/mount_djinnskiff.png	arb_golden_magus_skiff
ovn_hlf_moot_general_0	ui/campaign ui/mounts/mount_cockarel.png	ovn_hlf_moot_general_2
ovn_hlf_master_chef_0	ui/campaign ui/mounts/mount_cwagon.png	ovn_hlf_master_chef_1
ovn_hlf_sheriff_0	ui/campaign ui/mounts/mount_bpig.png	ovn_hlf_sheriff_1
elo_boglar_shaman	ui/campaign ui/mounts/mount_giant_wolf.png	elo_boglar_shaman_hound
elo_carrion_boss	ui/campaign ui/mounts/mount_great_cave_squig.png	elo_carrion_boss_squig
